#Selection name: Selection 1
#Area (µm^2): 67504304.3
Selection,X,Y
Selection 1,2378.213009589277,2386.121200984908
Selection 1,2495.681681364838,2350.2656627812
Selection 1,2467.836087491597,2230.589526032676
Selection 1,2515.138908340817,2099.907599633233
Selection 1,2585.020942342063,1948.3808968462351
Selection 1,2724.6273342750574,1830.533802503881
Selection 1,2837.554935249093,1733.2476676239871
Selection 1,2977.949707529576,1580.1757393559146
Selection 1,3018.4093869626067,1764.3098533149746
Selection 1,3156.5651590562256,1670.1457046111293
Selection 1,3270.060393880452,1533.6612988541829
Selection 1,3371.603782636775,1407.5835136840649
Selection 1,3487.274947220065,1341.7379870619516
Selection 1,3650.942707358364,1277.5322915626116
Selection 1,3831.860229499676,1243.4427253372744
Selection 1,4001.929638059568,1191.63036890043
Selection 1,4150.933523734608,1138.209716554712
Selection 1,4292.022070720877,1051.519413545043
Selection 1,4475.809297327044,1013.1725934432764
Selection 1,4597.976715973626,1075.3600352530495
Selection 1,4807.33900105227,1017.2091008224098
Selection 1,4930.799363468731,965.585955668962
Selection 1,5073.843093716769,903.8400068537816
Selection 1,5195.789765866055,867.8583277944759
Selection 1,5324.201156864737,795.4850118951708
Selection 1,5395.565345919258,686.278566161274
Selection 1,5511.583397855443,605.8322355037021
Selection 1,5633.719281288126,567.7061618992316
Selection 1,5833.463326127428,423.2748822396163
Selection 1,6023.147637732795,342.35552337355244
Selection 1,6197.537370596917,307.792928939723
Selection 1,6462.811589919336,265.2834606032249
Selection 1,6641.90006965448,230.878542238893
Selection 1,6796.328012120231,221.8910062775414
Selection 1,7025.841298880639,220.2511751547684
Selection 1,7216.944695111483,229.17564068832115
Selection 1,7478.970787402257,249.38971279788737
Selection 1,7691.171241731853,257.525797983953
Selection 1,7910.277907905435,276.79381367653485
Selection 1,8074.639442749523,345.9190025441935
Selection 1,8241.27151299437,476.7586050131332
Selection 1,8349.15347974449,615.0089827484506
Selection 1,8391.536807225391,791.8899975106301
Selection 1,8468.072771359426,915.8864585633828
Selection 1,8548.329890733601,1058.99325923922
Selection 1,8647.192786308467,1192.6710309591126
Selection 1,8739.969385600738,1393.8656956377909
Selection 1,8818.933561205034,1538.990750003195
Selection 1,8874.530143309818,1719.6875256472113
Selection 1,8960.905094180489,1835.3586902305012
Selection 1,9110.31893763622,1842.832535924678
Selection 1,9194.70717003123,1949.32695326322
Selection 1,9289.344346943568,2081.7433164271333
Selection 1,9503.878407101723,2140.9664481303557
Selection 1,9707.501283250662,2156.860195935693
Selection 1,9919.890948863656,2097.3847825212747
Selection 1,10003.869223477968,1950.8406435303948
Selection 1,10088.47820237027,1802.3097860638468
Selection 1,10256.056329032104,1778.343023500243
Selection 1,10376.962339122709,1587.3973033388954
Selection 1,10443.312429167214,1460.6572786768882
Selection 1,10326.316785600146,1346.5313395746723
Selection 1,10204.559324734257,1369.3628344378951
Selection 1,10042.56293093263,1545.7708209915827
Selection 1,9922.855258970209,1508.9692263708907
Selection 1,9808.350897301196,1212.5382157157846
Selection 1,9667.136209459328,1128.3076593902756
Selection 1,9531.503254477668,1018.912002372982
Selection 1,9415.169850402488,929.1312484011642
Selection 1,9308.770038705648,788.2003774843911
Selection 1,9293.254713467102,642.5392244826961
Selection 1,9264.778415315872,484.043239423913
Selection 1,9157.65329369934,395.6500348636724
Selection 1,9005.18053449536,216.34080863123307
Selection 1,9028.453522353177,-4.8787168736144
Selection 1,9188.810085032026,-9.924351097531074
Selection 1,9417.408850589352,-4.2795478095242805
Selection 1,9602.583626607096,-6.833900135382124
Selection 1,9848.589830236931,33.21582151695664
Selection 1,9990.49829278459,47.469738199521245
Selection 1,10196.549380403789,96.66467188270896
Selection 1,10245.996595798171,228.51340119643208
Selection 1,10328.839602712102,359.66835580436657
Selection 1,10398.532425429952,485.0839014825958
Selection 1,10442.87093617262,636.5159986278956
Selection 1,10501.74718052295,793.2144764944084
Selection 1,10608.241597861492,952.025813692186
Selection 1,10675.884631675875,1082.486993594332
