#Selection name: Selection 1
#Area (µm^2): 33770668.0
Selection,X,Y
Selection 1,1045.979069851497,856.5761710566525
Selection 1,1190.5635627618717,767.1976700937289
Selection 1,1425.7962944499611,750.0286065980716
Selection 1,1727.7730704025191,746.4402171214874
Selection 1,2108.197560912404,722.5360226082412
Selection 1,2456.712988076664,715.6904796067571
Selection 1,2844.8663174591925,740.4779699911625
Selection 1,3136.740396885367,731.479393303728
Selection 1,3492.046161059161,681.8492065429697
Selection 1,3901.950651268986,626.8088325713607
Selection 1,4330.735590724839,598.819394654003
Selection 1,4781.989368903303,568.7321290426423
Selection 1,5127.965320437981,577.509881762287
Selection 1,5185.324346071381,840.1799914482592
Selection 1,5228.274607806499,1113.3944455961948
Selection 1,5276.027790841045,1388.9827573978712
Selection 1,5346.139400614309,1865.3552619124264
Selection 1,5365.627115771757,2120.682974669388
Selection 1,5415.146890548623,2560.177876563046
Selection 1,5459.311684106583,2915.4284347448943
Selection 1,5462.513631639536,3151.3788443283
Selection 1,5468.696702737649,3380.9805648377496
Selection 1,5494.643518952951,3765.103856808114
Selection 1,5495.582020816059,4063.65786125993
Selection 1,5541.01655218881,4448.664449101454
Selection 1,5607.871008437175,4851.6129843259
Selection 1,5689.465464535506,5175.230509121859
Selection 1,5753.394003210655,5463.184963119764
Selection 1,5818.647485692543,5775.043611630916
Selection 1,5921.661866666487,6159.553345544912
Selection 1,5995.748307859966,6438.619634839278
Selection 1,6013.966285202624,6683.458209126224
Selection 1,5992.1599183833805,7070.34180069396
Selection 1,6004.857296531295,7345.598876543951
Selection 1,5998.066959521757,7785.038572445663
Selection 1,5969.746285652716,8069.570254942826
Selection 1,5917.576623262374,8480.799688959389
Selection 1,5686.09789902671,8727.736090940338
Selection 1,5429.05880051938,8853.384928612737
Selection 1,5182.453634490114,9002.882754806433
Selection 1,4834.214237285592,9163.476985381569
Selection 1,4599.588771508927,9263.455036798405
Selection 1,4375.231620234485,9323.51915603723
Selection 1,4066.0780653287584,9399.151365005238
Selection 1,3812.572150306063,9458.773836308485
Selection 1,3560.556797065949,9506.692637318873
Selection 1,3199.5648157215664,9535.3445471396
Selection 1,2876.11290890145,9520.107693362104
Selection 1,2650.0995778685856,9513.759004288147
Selection 1,2413.652314357652,9505.42289950408
Selection 1,2137.235912676763,9507.575933190032
Selection 1,1854.5260279138668,9515.525596030464
Selection 1,1581.3115737659305,9518.065071660048
Selection 1,1330.5107523486604,9530.928067783803
Selection 1,1107.975398808485,9516.51930388552
Selection 1,768.4033423397138,9463.742375583755
Selection 1,563.9203481663546,9424.546121301066
Selection 1,318.58491995188183,9318.384998786116
Selection 1,289.93301013115337,9031.31384065937
Selection 1,322.0076914526239,8788.021034146956
Selection 1,480.3384763579134,8464.569127326838
Selection 1,722.803192991118,8444.860588201598
Selection 1,987.626336363042,8441.989876620331
Selection 1,1333.4918759138236,8491.840887348879
Selection 1,1644.5224345457625,8692.901110021496
Selection 1,1905.2603345135744,8757.38170861612
Selection 1,2139.4993583466094,8852.777662701315
Selection 1,2391.0730636511444,8940.058335970234
Selection 1,2615.0989789739,9011.16365359855
Selection 1,2911.3343317639237,9013.15106930866
Selection 1,3149.1617450735434,8870.222756156709
Selection 1,3258.690433097286,8653.318413795174
Selection 1,3278.840620158106,8337.760963823543
Selection 1,3311.6329793748914,8115.39122825921
Selection 1,3314.062043020579,7883.415650096021
Selection 1,3270.283691406251,7664.0270380968495
Selection 1,3220.984740597177,7399.590336668558
Selection 1,3163.51530297988,7147.188541484812
Selection 1,3043.0006225585944,6891.47438678422
Selection 1,2959.4739567421016,6613.1257753851705
Selection 1,2907.138676375918,6366.686227331748
Selection 1,2841.7747819101346,6112.076192470104
Selection 1,2741.962348469144,5917.971924782865
Selection 1,2634.862724091088,5651.106159708887
Selection 1,2491.603174987453,5483.776798116162
Selection 1,2319.084450151668,5298.560695132465
Selection 1,2158.490219576532,5104.677251413016
Selection 1,1962.177712211396,4941.5435452082975
Selection 1,1729.1532202012045,4853.213958092376
Selection 1,1491.822660819113,4785.365793988958
Selection 1,1244.720640862321,4712.162648666638
Selection 1,941.9709810224996,4582.9806275096025
Selection 1,726.5572004435459,4483.002576092767
Selection 1,642.6440926834188,4239.157709660876
Selection 1,597.4855912704036,3986.314266541551
Selection 1,724.6801967173319,3751.191946837356
Selection 1,987.571130371094,3636.5291015625007
Selection 1,1220.9820643249177,3545.991274768681
Selection 1,1426.7347963130674,3340.128130796636
Selection 1,1427.5628861922787,3056.755774130369
Selection 1,1284.4689550644855,2886.72131893222
Selection 1,1079.7651369233367,2731.1508336243023
Selection 1,856.0704575522656,2568.4035693632163
Selection 1,696.6907587999735,2401.295031738282
Selection 1,699.6166763731884,2167.828891792511
Selection 1,736.6598969699292,1811.3638017878195
Selection 1,751.0134548762659,1514.1347411427428
Selection 1,798.3249899752311,1234.6820099047447
Selection 1,880.1402700413547,914.5976685934232
