#Selection name: Selection 1
#Area (µm^2): 95595526.1
Selection,X,Y
Selection 1,707.1219352053832,705.6771376185878
Selection 1,651.3214842122387,750.4619656001428
Selection 1,650.7797322608486,749.649337673058
Selection 1,954.1156790431728,663.5559233980329
Selection 1,1153.1192291870157,680.2599418992177
Selection 1,1344.944565974948,679.7181899478279
Selection 1,1579.1619929591252,680.8919858425058
Selection 1,1766.3372921642942,649.8315406294919
Selection 1,1781.1451788356123,457.7353278658676
Selection 1,1768.8203219414968,271.5532405715815
Selection 1,1832.2504462500483,67.26760890168718
Selection 1,2015.7237737873863,102.79750771366652
Selection 1,2268.5864970985645,100.49506192025996
Selection 1,2486.822241516744,102.39119375012432
Selection 1,2730.836349621889,109.88542907768272
Selection 1,2942.2550486517507,155.79890695796618
Selection 1,3135.299327330305,243.1112631236184
Selection 1,3304.416228155815,379.9487768454857
Selection 1,3527.1665721689087,410.1965941314149
Selection 1,3740.978008984073,365.682642125555
Selection 1,3988.06204481376,379.09100292245193
Selection 1,4131.987479899645,520.6237002230306
Selection 1,4268.554117645816,666.4001211428291
Selection 1,4443.720581928512,882.0173977959597
Selection 1,4593.018390532344,1062.6916735844495
Selection 1,4737.666161553413,1196.4592595817749
Selection 1,4920.597737139361,1373.6121476862318
Selection 1,5141.587387310439,1488.1926854051687
Selection 1,5322.532539074626,1590.2677822461922
Selection 1,5525.418644870097,1727.6921939153983
Selection 1,5729.704276539989,1786.1111126735964
Selection 1,5916.969867737055,1910.1723095418547
Selection 1,6094.754799784799,2003.5793751606416
Selection 1,6275.203345593543,2108.8146917181057
Selection 1,6526.215083070806,2246.600271354905
Selection 1,6712.397170365091,2345.9214624430306
Selection 1,6947.24664129256,2471.698207157356
Selection 1,7171.847971139571,2610.8833126685795
Selection 1,7358.391226401451,2802.9795254322044
Selection 1,7532.338748793517,3002.7054115112346
Selection 1,7656.896551617215,3158.0527835722523
Selection 1,7782.086398384203,3454.8877069379
Selection 1,7942.219246015831,3640.8440642524406
Selection 1,7995.852689203419,3892.1266777053975
Selection 1,8175.127439117484,4104.222566674494
Selection 1,8262.484941279086,4284.174506527798
Selection 1,8438.915493448356,4475.728967340033
Selection 1,8621.892215030251,4770.306590908223
Selection 1,8781.52845670644,4981.86072792593
Selection 1,8935.476302893034,5117.840467724764
Selection 1,9045.9485549806,5361.719137842061
Selection 1,9156.60139105196,5574.401924758497
Selection 1,9298.946716279625,5743.518825584005
Selection 1,9439.711931649068,5915.163902182665
Selection 1,9546.346774080956,6120.984497714831
Selection 1,9629.325114635489,6346.172725509181
Selection 1,9779.30011317856,6638.4479032839645
Selection 1,9886.883021525378,6824.223676614709
Selection 1,10023.94626522699,7040.472997211126
Selection 1,10114.328549117186,7310.130031015386
Selection 1,10246.832047227934,7531.164827182414
Selection 1,10296.26691279225,7812.108359973961
Selection 1,10338.072105041165,8023.7527889835665
Selection 1,10388.590474508255,8220.13787136236
Selection 1,10445.609867392031,8425.28127695529
Selection 1,10493.91608305762,8642.47866346664
Selection 1,10535.81156729843,8872.723242807295
Selection 1,10574.99829178229,9138.633158947776
Selection 1,10652.829988798623,9423.052933427409
Selection 1,10695.402662978668,9674.56127686011
Selection 1,10759.329393242662,9928.28177409432
Selection 1,10822.037181616026,10132.477113772318
Selection 1,10888.446941657225,10390.080166658156
Selection 1,10882.84883815953,10598.248353979676
Selection 1,10842.172295809349,10800.096101868316
Selection 1,10877.386172649683,11018.783306245989
Selection 1,10872.961865046664,11246.319125829694
Selection 1,10903.299974324496,11445.096945993791
Selection 1,10915.353955242916,11690.60087196526
Selection 1,10899.68829464856,11932.62855624864
Selection 1,10915.62483121861,12159.893499856653
Selection 1,10945.692064520745,12432.259293417865
