#Selection names:,Selection 1
#Areas (µm^2): 39936792.9
Selection,X,Y
Selection 1,3882.1198970291193,466.6579474255801
Selection 1,3992.678862664139,553.2546536364265
Selection 1,4096.458470205843,595.934763393717
Selection 1,4289.520944712348,686.326204637929
Selection 1,4510.937338288382,737.9601835750708
Selection 1,4698.883316120688,797.6526447740786
Selection 1,4901.112847168469,878.7064795878742
Selection 1,5159.325379326462,947.0117101884532
Selection 1,5327.70075737995,1030.197418616499
Selection 1,5493.517887096336,1119.7787478872958
Selection 1,5649.229935881176,1244.578629265507
Selection 1,5878.619536774507,1453.3316935728947
Selection 1,6067.205076691088,1603.1597711824043
Selection 1,6293.780604413607,1730.7310882591412
Selection 1,6608.061412626384,1935.6894175331631
Selection 1,6828.198682033868,2047.1437700861677
Selection 1,6991.841300663717,2136.9809241906746
Selection 1,7190.873021290124,2278.281507343183
Selection 1,7461.748882716766,2468.615183623448
Selection 1,7787.158071195929,2624.497782297429
Selection 1,7962.48335723187,2725.164854362327
Selection 1,8109.539999142854,2911.4479707755163
Selection 1,8228.882284068584,3186.7154918475126
Selection 1,8275.485041276097,3480.743500724911
Selection 1,8297.315427086021,3676.3215860962314
Selection 1,8338.076850590487,3953.7636182547635
Selection 1,8372.485290724484,4213.894836665582
Selection 1,8359.523499149842,4456.715241328689
Selection 1,8302.943573427641,4653.785638229985
Selection 1,8198.822866107657,4819.261668168092
Selection 1,8041.192131069993,4945.212761297998
Selection 1,7809.414831728701,4935.917792339867
Selection 1,7558.791769637438,4819.091118278951
Selection 1,7390.41639158395,4674.763274594208
Selection 1,7292.520755217578,4518.283751308237
Selection 1,7211.935932598917,4354.470582789246
Selection 1,7144.611363860892,4181.405082784408
Selection 1,7027.145127715703,3946.174148188032
Selection 1,6903.283270727763,3757.631245743737
Selection 1,6635.605219722498,3548.70763154721
Selection 1,6277.578364945306,3295.6542335357017
Selection 1,6067.887276247647,3152.221776768943
Selection 1,5901.64377180841,2990.6257568087717
Selection 1,5603.565203063937,2781.446317778534
Selection 1,5421.631108823817,2684.5739807470013
Selection 1,5123.808364913052,2526.687420875626
Selection 1,4934.455350495344,2487.6314962625606
Selection 1,4634.202270664334,2487.929958568556
Selection 1,4344.651196376861,2556.8747512534096
Selection 1,4104.346402578569,2696.768297820513
Selection 1,3989.3957772981935,2918.483153702542
Selection 1,3983.6397185397186,3189.9985772134582
Selection 1,3989.864789493329,3517.5822767791565
Selection 1,3995.620848251804,3816.129857718765
Selection 1,3989.6516021319035,4011.5800306732312
Selection 1,3996.9426098926397,4336.0511947621235
Selection 1,4057.3172706482073,4592.5155905564325
Selection 1,4100.4237551283495,4787.113014065198
Selection 1,4151.673996814925,5060.675036245794
Selection 1,4231.875082183021,5269.257550664041
Selection 1,4343.4147096805955,5455.455392132661
Selection 1,4551.144474653142,5534.547903221346
Selection 1,4622.093228535393,5340.419491907715
Selection 1,4681.913602151255,5165.435305650053
Selection 1,4763.862823883035,4981.966262407673
Selection 1,4834.896852709855,4783.915203643822
Selection 1,4879.282461358546,4587.527006299087
Selection 1,4917.997286193331,4425.163511837785
Selection 1,5081.426717461758,4278.618519594221
Selection 1,5330.25900571705,4335.113170371854
Selection 1,5465.163968026808,4485.282347759643
Selection 1,5534.876235212792,4649.64980341834
Selection 1,5640.489254062751,4860.278916506268
Selection 1,5775.053116594228,5071.2064919001905
Selection 1,5903.946195311801,5326.477038470519
Selection 1,5986.364429238717,5551.3044298293535
Selection 1,6108.819249641253,5793.655822297325
Selection 1,6186.5473616168165,6002.963173744418
Selection 1,6258.135677583344,6171.38118927019
Selection 1,6390.439754083716,6458.757752471128
Selection 1,6463.5630190525,6726.990090616098
Selection 1,6492.599137678587,6911.738258027027
Selection 1,6500.273882689889,7125.693093953187
Selection 1,6478.187672046256,7333.721321231727
Selection 1,6422.119395991474,7511.391668243346
Selection 1,6302.905023482598,7719.846270244739
Selection 1,6099.481643210837,7953.968630561704
Selection 1,5942.703657618871,8072.713990875445
Selection 1,5770.661456948873,8155.174862274647
Selection 1,5635.4153948608355,8298.30885673541
Selection 1,5539.608994636427,8468.944020820003
Selection 1,5514.623435877414,8640.687759184006
Selection 1,5595.336170912929,8841.42497870181
Selection 1,5680.7390278997955,9016.70762726547
Selection 1,5613.073359383493,9219.875182703521
Selection 1,5508.441002396088,9381.343290246838
Selection 1,5356.054676449478,9503.115911092815
Selection 1,5187.551385979137,9583.956558545184
Selection 1,5016.404572227123,9681.255270299567
Selection 1,4827.222107698553,9726.920003116807
Selection 1,4664.133776208408,9721.888781387177
Selection 1,4485.482767334234,9716.81492218526
Selection 1,4298.346901475345,9722.741530832878
Selection 1,4110.017186392475,9699.120371186984
Selection 1,4048.8324136634924,9532.237304663473
Selection 1,4228.847821650785,9539.016662756789
Selection 1,4412.743239616014,9506.953283598465
Selection 1,4414.74720081341,9326.51150088832
Selection 1,4245.476435841937,9234.24401086357
Selection 1,4062.348492377838,9206.48701640603
Selection 1,3875.681638714084,9196.68039778048
Selection 1,3686.6697240746544,9187.214878933208
Selection 1,3412.2975899206426,9174.55154966456
Selection 1,3169.5198227298215,9189.901039687162
Selection 1,3119.8471675177893,9381.769664969686
Selection 1,3058.108107649102,9561.699798012412
Selection 1,2849.056581035719,9596.236150563265
Selection 1,2672.707995664936,9636.784386706306
Selection 1,2410.7433659458616,9654.180475398589
Selection 1,2199.0483160508093,9687.437703780892
Selection 1,1988.3765654905967,9680.914170521288
Selection 1,1769.8168825576568,9677.71636009991
Selection 1,1595.2590710228435,9640.57912173967
Selection 1,1410.3403537227757,9626.76458071933
Selection 1,1185.3424124748003,9642.412533047927
Selection 1,978.4653969479538,9678.611747017896
Selection 1,781.2244501575175,9815.392758108195
Selection 1,606.2402638998539,9884.977112877325
Selection 1,406.1852439386076,9943.091987601785
Selection 1,293.36649227248324,9809.764611766574
Selection 1,264.54356100781877,9612.481027503853
Selection 1,275.2455665513561,9432.295069627418
Selection 1,291.3198936028033,9209.429001993694
Selection 1,317.9256763086458,8983.32248646631
Selection 1,326.70899559935816,8785.484615063884
Selection 1,357.02423839399705,8540.617611731097
Selection 1,387.04101888264046,8358.726154963264
Selection 1,409.1272295262741,8189.924402186925
Selection 1,432.7483891721661,7974.093517480227
Selection 1,462.76516966081107,7806.442976455585
Selection 1,556.4823337432523,7642.629807936593
Selection 1,563.6027916148481,7413.1122946264095
Selection 1,675.781981196699,7222.650705929288
Selection 1,721.0203392910902,7035.472202598114
Selection 1,707.7600854104529,6813.160422104093
Selection 1,760.9716508221394,6494.786416551958
Selection 1,832.7305166778035,6282.494442044914
Selection 1,904.1056452829042,6037.584801239843
Selection 1,970.875926881222,5866.86436221068
Selection 1,1009.4628392991517,5704.6714176385185
Selection 1,1084.0357783256272,5512.461692577713
Selection 1,1145.0500011654701,5360.459103881668
Selection 1,1258.16721513759,5197.072310085527
Selection 1,1331.8874047183647,5040.763336688697
Selection 1,1396.4405377578635,4876.267968613145
Selection 1,1465.6411552764275,4714.671948652973
Selection 1,1513.1819368742088,4509.244607183817
Selection 1,1604.2555776749805,4346.625287888804
Selection 1,1649.3233858802312,4169.722415378317
Selection 1,1709.911233997225,4005.823971914755
Selection 1,1754.7658548410495,3829.518024016257
Selection 1,1813.9893038449225,3639.781272347982
Selection 1,1862.340197416119,3479.592288973216
Selection 1,1913.2067018521316,3297.146545065677
Selection 1,1958.9567096139428,3083.362259028659
Selection 1,1997.373072142732,2885.524387626233
Selection 1,2139.014755073521,2643.087720213691
Selection 1,2272.811143103868,2522.2104862857004
Selection 1,2472.0134136194147,2289.9641747492747
Selection 1,2559.4628692759607,2136.9809241906746
Selection 1,2764.080098771703,1924.1346625439264
Selection 1,2903.717820505096,1734.3979108756514
Selection 1,3111.9592351450633,1519.5903255037933
Selection 1,3261.744675282288,1334.245233480874
Selection 1,3406.200431383887,1141.2253964466536
Selection 1,3566.6452395923634,963.5976869073204
Selection 1,3708.5853848291476,835.5573576354485
Selection 1,3837.819563324999,655.3287622867298
Selection 1,3882.1198970291193,466.6579474255801
