#Selection name: Selection 1
#Area (µm^2): 33566786.5
Selection,X,Y
Selection 1,107.61344625660226,1026.270623966598
Selection 1,108.14975557917838,1027.5531027814543
Selection 1,203.2397302516117,1060.4545138316755
Selection 1,314.5122557878684,1131.970196107388
Selection 1,353.49961175949903,1227.596480102398
Selection 1,375.9313321211671,1331.477264105756
Selection 1,544.658908562984,1321.8936496892848
Selection 1,642.9201035776083,1418.242785379941
Selection 1,734.1626418054734,1482.7864464621618
Selection 1,785.9048325357651,1591.097611825932
Selection 1,853.4331715871059,1682.4334212403323
Selection 1,949.2226801585522,1662.0303491858008
Selection 1,1057.417256539154,1623.8824338929849
Selection 1,1078.799676052303,1528.069607524905
Selection 1,1117.1341337181882,1414.0688997824998
Selection 1,1232.2307779023795,1390.4479717925103
Selection 1,1308.27011272504,1293.7257513557142
Selection 1,1312.5372695090164,1202.0868105850752
Selection 1,1392.470676369512,1138.5691325547396
Selection 1,1490.5919646043335,1093.425878271799
Selection 1,1604.802532516443,1149.3186368028985
Selection 1,1730.5787275588923,1139.9215647594972
Selection 1,1848.5667785256685,1091.4671833545638
Selection 1,2003.070499020899,1051.850246873822
Selection 1,2121.315045750646,1020.0680900620204
Selection 1,2218.9932958494264,1046.5571070379608
Selection 1,2318.140567136133,1060.2912892552397
Selection 1,2459.8661350760667,1025.6643612541204
Selection 1,2533.293876675747,938.4558018438944
Selection 1,2635.4258259315743,942.956136594208
Selection 1,2666.6949912174323,1048.8422511080682
Selection 1,2594.0833724999334,1174.1520902178422
Selection 1,2712.5377793993857,1207.7763529637102
Selection 1,2822.2013769679133,1189.518518199484
Selection 1,2930.815673687922,1173.9422300481383
Selection 1,3023.993589036388,1139.1987130638506
Selection 1,3085.92565689563,1025.8509036271903
Selection 1,3137.6911654225555,896.7402636661147
Selection 1,3247.2614918045483,911.8968314780526
Selection 1,3382.038356347625,945.6143654104555
Selection 1,3486.9218056062336,966.8102425505348
Selection 1,3501.6353352821307,1064.8848951920886
Selection 1,3562.3781955130507,1157.7829969809495
Selection 1,3661.0591108670815,1230.534522478251
Selection 1,3758.3642762197214,1221.8836199271293
Selection 1,3893.420954322403,1286.5438699925191
Selection 1,3953.137831501439,1373.402662453239
Selection 1,4057.135204487965,1356.8470268432764
Selection 1,4172.3018020620575,1294.8683233907675
Selection 1,4234.700225853974,1187.3965987058127
Selection 1,4253.354463160973,1092.9828401357574
Selection 1,4264.547005545173,963.9188357679498
Selection 1,4376.705607353513,1002.53310699344
Selection 1,4481.262607459249,998.265950209464
Selection 1,4617.928213529661,1059.0787638302843
Selection 1,4722.252035669058,1077.0567850349062
Selection 1,4862.648489200869,1103.126081671439
Selection 1,4995.1168918772055,1127.563132543609
Selection 1,5129.38076489434,1119.6350816881345
Selection 1,5217.218904813677,1171.1207766554548
Selection 1,5284.304205728977,1256.487230131615
Selection 1,5309.604015076597,1365.917649733805
Selection 1,5248.021714166862,1464.7384718676392
Selection 1,5337.888502393335,1538.4460270269235
Selection 1,5477.072430500191,1615.0683067654277
Selection 1,5574.330960259564,1734.6186501066654
Selection 1,5648.6214603346925,1836.260925633183
Selection 1,5703.814684966778,1924.9151884347016
Selection 1,5747.652142638229,2040.3615995683997
Selection 1,5739.81736296929,2163.3862946080662
Selection 1,5714.191104468797,2284.149163374259
