#Selection name: Selection 1
#Area (µm^2): 4364863.0
Selection,X,Y
Selection 1,927.4728968026724,2402.750498765767
Selection 1,955.6860498929556,2397.5632218664723
Selection 1,1006.608209318388,2389.6062677087302
Selection 1,1067.494165321878,2359.855709021597
Selection 1,1131.2554218690943,2314.5550555571654
Selection 1,1172.1785769547091,2283.2201475908355
Selection 1,1216.798547025115,2246.275469584092
Selection 1,1264.821934065648,2222.345927507933
Selection 1,1313.2560783267122,2181.610547151704
Selection 1,1357.9699357618122,2146.6844474858626
Selection 1,1400.6534789354223,2121.287915336373
Selection 1,1446.658287635052,2110.502604317251
Selection 1,1493.7075932668936,2099.024873983516
Selection 1,1537.9168061167672,2064.74424994994
Selection 1,1588.2756413540403,2048.184866002191
Selection 1,1637.6956029443832,2036.3198502890973
Selection 1,1681.975231317777,2014.7844360126123
Selection 1,1737.720854104318,1980.8441536760488
Selection 1,1786.119790603623,1949.286263218573
Selection 1,1832.3358458738123,1921.6481702370352
Selection 1,1876.8501926589388,1883.893713709813
Selection 1,1917.609044856341,1851.9720097141517
Selection 1,1966.852967637884,1800.0170892770952
Selection 1,2007.8113304852584,1770.9941576663334
Selection 1,2069.190195153387,1741.220127138027
Selection 1,2126.168089601525,1716.6803171913623
Selection 1,2163.605676272908,1682.693091172452
Selection 1,2225.4539777645023,1660.7938633577814
Selection 1,2271.18886029064,1636.17190196701
Selection 1,2329.105628385709,1614.213994549406
Selection 1,2386.2243538808875,1582.0575721420114
Selection 1,2428.45019615162,1550.0185089404836
Selection 1,2489.864268581508,1508.015649160898
Selection 1,2546.5370290943947,1469.0523928132525
Selection 1,2595.675328590657,1453.361466988914
Selection 1,2655.106030441403,1412.438311903299
Selection 1,2724.394905584928,1373.9679642202923
Selection 1,2779.7884507538697,1342.6799999363095
Selection 1,2812.23827117593,1292.520675349009
Selection 1,2857.574132402121,1237.04497873596
Selection 1,2914.6224423737804,1204.8650844873926
Selection 1,2962.211600352606,1251.1046115987551
Selection 1,2998.00615814186,1312.77687428155
Selection 1,3047.1561935587088,1374.7073272172508
Selection 1,3060.863748803905,1423.4348694929813
Selection 1,3073.151257658117,1493.8503930128231
Selection 1,3106.3052333153764,1547.788684029022
Selection 1,3129.284165824018,1600.9406683659158
Selection 1,3141.1374456165245,1645.760149086295
Selection 1,3143.14428803684,1695.3561494854368
Selection 1,3154.058694182416,1745.0695090904453
Selection 1,3205.5089700342464,1772.8014894366763
Selection 1,3244.6247933495188,1807.4224551672648
Selection 1,3282.132795544421,1858.6849562897096
Selection 1,3320.708766512708,1907.58853737424
Selection 1,3347.1380596738213,1952.5605850622453
Selection 1,3336.4114282576325,2002.2504728260808
Selection 1,3359.3434170839278,2053.8063719631914
Selection 1,3380.1746761252143,2099.6468777746086
Selection 1,3401.639674878179,2156.742131428613
Selection 1,3405.864606289369,2210.3400807478
Selection 1,3408.528660262537,2287.034321781494
Selection 1,3444.4757850194164,2327.3002653142566
Selection 1,3483.720703461141,2366.146162456036
Selection 1,3462.420007596389,2416.8336034697354
Selection 1,3451.399978165534,2480.4188212081526
Selection 1,3449.6747978392978,2536.1761799152805
Selection 1,3474.918763021161,2600.019587906604
Selection 1,3517.7548731623983,2654.345164302162
Selection 1,3555.6149529749,2707.004239974417
Selection 1,3600.6926239481845,2747.633997045365
Selection 1,3609.787962402832,2795.4344015947518
Selection 1,3631.088658267584,2848.903255787485
Selection 1,3649.4319021445017,2901.221989762727
Selection 1,3656.473454496487,2950.9001416059755
Selection 1,3655.6049963730743,3015.0134757707915
Selection 1,3650.147793300288,3075.758600727241
Selection 1,3641.521891669106,3142.301270453492
Selection 1,3635.818234263999,3191.6860242820744
Selection 1,3602.605579003808,3241.763197425269
Selection 1,3554.6056638044483,3236.8106389377062
Selection 1,3498.003318815083,3223.713351563016
Selection 1,3454.7681873739,3261.937244913703
Selection 1,3417.9173967318493,3295.032540968029
Selection 1,3381.4304196279845,3327.3415303430497
Selection 1,3348.2295002883798,3370.8465879577248
Selection 1,3314.0897073018423,3407.6269630762554
Selection 1,3252.9807688072065,3417.579023733727
Selection 1,3239.871745511929,3473.4654775673075
Selection 1,3205.9666709371254,3518.59009222294
Selection 1,3153.37801078839,3536.3817478322867
Selection 1,3104.1575598480213,3553.199322032942
Selection 1,3055.8173029516497,3563.6794991168117
Selection 1,3008.368976019863,3576.049159415131
Selection 1,2962.070769305567,3605.623679293464
Selection 1,2915.5378441795383,3628.473516675653
Selection 1,2867.303210568447,3649.950251349204
Selection 1,2820.124809810153,3672.213292702061
Selection 1,2775.575255263266,3692.645530443402
Selection 1,2730.5327920517407,3704.311035506522
Selection 1,2676.054648688557,3726.5388690976183
Selection 1,2618.642525178712,3738.885057554765
Selection 1,2569.2577713501296,3740.739333007453
Selection 1,2506.200670038111,3738.920265316525
Selection 1,2435.972921247656,3728.052802853296
Selection 1,2378.396494849598,3747.018050521306
Selection 1,2339.8087879607256,3775.548073467429
Selection 1,2291.2572844937945,3811.5186700654817
Selection 1,2249.911636267061,3829.134286866029
Selection 1,2198.344001209363,3826.341137766408
Selection 1,2156.50544431799,3797.4707731232734
Selection 1,2192.6051360424963,3754.30605720561
Selection 1,2245.264211714751,3738.720754666552
Selection 1,2285.1546057887413,3700.884146695224
Selection 1,2298.7800095898306,3645.103316146922
Selection 1,2326.242063762569,3594.662329465542
Selection 1,2375.4155710205923,3561.6961285376688
Selection 1,2381.635608931512,3511.11431080925
Selection 1,2342.3320108868534,3483.3588586218457
Selection 1,2285.3893242004747,3491.045886606096
Selection 1,2246.473011535175,3517.439972005449
Selection 1,2186.3264185286434,3515.3040344586807
Selection 1,2128.409650433574,3516.055133376225
Selection 1,2070.0351814356254,3522.662456666503
Selection 1,2017.3995776045435,3533.0370104650938
Selection 1,1971.2656737784605,3543.810585563629
Selection 1,1890.4051809365087,3563.9024816079573
Selection 1,1828.533407603741,3566.085362837073
Selection 1,1784.1716277862408,3568.948927460213
Selection 1,1724.0719784620558,3558.926451279222
Selection 1,1661.2848033235305,3543.658018596004
Selection 1,1586.8673308836442,3527.9553568510782
Selection 1,1541.0620328339874,3530.8071855536327
Selection 1,1480.3286437981235,3534.738718950157
Selection 1,1435.1336136189716,3513.2502483560183
Selection 1,1376.817824223956,3465.2855409184194
Selection 1,1336.9861097528992,3417.56728781314
Selection 1,1296.1216342702176,3368.041702937518
Selection 1,1256.32512756092,3303.893161010942
Selection 1,1222.2909578596636,3253.428702488389
Selection 1,1179.9712282242383,3210.8859903618177
Selection 1,1134.5180077921805,3147.79368128804
Selection 1,1086.3303178634353,3078.5752216680357
Selection 1,1063.410064957727,3027.911252495509
Selection 1,1037.5323600641852,2964.4668658041314
Selection 1,1013.790592717412,2908.3809013205773
Selection 1,998.4400085900864,2856.238206154135
Selection 1,971.247880590841,2795.8921024976303
Selection 1,957.4347020603652,2742.5406075107635
Selection 1,939.2557610716592,2668.1231350708777
Selection 1,921.417161779966,2595.0552934984557
Selection 1,902.0646287325962,2550.458795269222
Selection 1,890.3052363047826,2502.8813732109825
Selection 1,881.3742007383494,2458.590008917002
