#Selection names:,Selection 1
#Areas (µm^2): 17618826.5
Selection,X,Y
Selection 1,358.30791570233635,134.59035677555292
Selection 1,423.08963446620237,117.32598838767318
Selection 1,561.1239069506058,116.06208602905893
Selection 1,741.4316795997244,109.71568269644263
Selection 1,885.9737046540138,104.60629018289566
Selection 1,1021.6953047375479,107.6988172305689
Selection 1,1240.6193281732637,73.4927789293491
Selection 1,1385.9949909534473,59.858768380042186
Selection 1,1506.9800273663311,47.058395556629804
Selection 1,1631.5954216177868,37.26987516225559
Selection 1,1761.3739914618802,20.54333756527543
Selection 1,1919.926508619106,8.119446295492875
Selection 1,2032.817191628949,11.373322580435948
Selection 1,2179.913912940012,12.368309543600313
Selection 1,2297.134133816598,51.03834340928746
Selection 1,2296.515628407063,164.89712184275004
Selection 1,2430.0859053269987,164.87023030320506
Selection 1,2596.517643570905,176.5680500052731
Selection 1,2714.0067798429413,211.5001598742075
Selection 1,2839.079330266662,238.95642174963604
Selection 1,2964.017422992658,315.70487561102055
Selection 1,3047.730785596193,398.55770894911666
Selection 1,3139.027562351415,502.17081081594023
Selection 1,3236.536284741527,583.8404164140568
Selection 1,3315.5705194642355,668.8983559948416
Selection 1,3395.3846088337477,769.6340631303519
Selection 1,3430.3973933213165,875.0488981466895
Selection 1,3453.040069618193,1013.1638452497276
Selection 1,3463.6622277384627,1149.0736861100772
Selection 1,3457.4233905640253,1263.3627291762596
Selection 1,3464.549648543447,1385.0738371568575
Selection 1,3518.3596191729603,1489.9508413822955
Selection 1,3538.689623068967,1604.3743421462025
Selection 1,3565.204681060322,1739.3698706620223
Selection 1,3602.4763548696706,1886.2514596567255
Selection 1,3627.082113553331,2007.5860860836935
Selection 1,3647.277659751614,2120.5843352517168
Selection 1,3663.789065032234,2236.1103891369685
Selection 1,3659.56709332367,2373.203457737297
Selection 1,3683.715695835066,2501.771908301866
Selection 1,3768.531611559947,2621.57371697477
Selection 1,3836.836122004205,2717.038682359464
Selection 1,3918.855317616408,2814.0095739586764
Selection 1,4009.4798058830033,2913.5620533542074
Selection 1,4090.3964483738614,2996.9796090227483
Selection 1,4166.445722207076,3088.894891187503
Selection 1,4229.264358584159,3230.0216907195795
Selection 1,4285.38700161454,3335.9743565268172
Selection 1,4350.545201932036,3478.526407654778
Selection 1,4422.856551768498,3586.469047388344
Selection 1,4513.8306300491795,3695.2184333082596
Selection 1,4561.563112741527,3807.033454736303
Selection 1,4641.511659808765,3959.239568560913
Selection 1,4721.648447652817,4061.3198526736724
Selection 1,4790.463897348432,4204.275276894808
Selection 1,4819.883241610644,4353.819128304464
Selection 1,4778.604728409094,4473.8360692937285
Selection 1,4676.981600468598,4528.587243807316
Selection 1,4580.925021213916,4600.306979773788
Selection 1,4524.506571248538,4721.023100791222
Selection 1,4445.68746884219,4801.348129412089
Selection 1,4341.724776961282,4827.137115835729
Selection 1,4228.699636253714,4846.875505861747
Selection 1,4106.880962114937,4854.996750804332
Selection 1,3991.32801669014,4849.37641903943
Selection 1,3860.5275683433365,4858.304410168365
Selection 1,3703.5078689401757,4864.301223486897
Selection 1,3523.4959032260517,4894.177723921374
Selection 1,3383.8750299084936,4931.798987744806
Selection 1,3276.8735940590022,4955.893807177113
Selection 1,3138.9199961932345,4976.65407570584
Selection 1,3028.44955174244,4939.086594961498
Selection 1,2914.6714479276125,4954.118965567143
Selection 1,2800.0597063868904,4975.632197203131
Selection 1,2687.5455049306765,4997.4681273136575
Selection 1,2548.8389439576486,5017.098951181496
Selection 1,2409.433202956451,5025.596677677711
Selection 1,2253.5967312932685,5027.21017005041
Selection 1,2130.9713109681416,5036.702883509789
Selection 1,1983.9014811966235,5038.504616659304
Selection 1,1873.4579282853736,5034.148187253016
Selection 1,1723.9678599548072,5039.714735938828
Selection 1,1560.4672995213045,5039.902976715643
Selection 1,1443.0857294074488,5020.514176703709
Selection 1,1342.2693476533034,4980.311325083958
Selection 1,1218.1380011136569,4949.789427700401
Selection 1,1081.475197146048,4984.210598317981
Selection 1,969.1492364666493,5032.1582133266875
Selection 1,839.7202566366412,5048.750293225942
Selection 1,721.8277472714306,5039.687844399284
Selection 1,620.2315108704806,5017.851914288756
Selection 1,500.5103768162116,4995.935309559593
Selection 1,401.7646436070301,5041.166879074257
Selection 1,295.9195439579733,5086.263990891196
Selection 1,228.95961049096266,4996.258008034133
Selection 1,211.21119439127287,4888.261585221478
Selection 1,206.7740903663508,4718.118814520363
Selection 1,204.70344182138692,4605.81974538051
Selection 1,217.04665847253432,4449.257202149613
Selection 1,224.03845875423045,4340.803623164692
Selection 1,239.7969009275915,4169.719648579503
Selection 1,257.73355780409565,3975.8585399997132
Selection 1,265.50521273259625,3865.1729632325587
Selection 1,278.95098250508795,3654.639100134878
Selection 1,286.6419628149534,3507.1121141910958
Selection 1,291.1866329980554,3375.3435704206736
Selection 1,296.3498085906923,3266.782425277573
Selection 1,295.4623877857079,3154.4295730586296
Selection 1,297.9901925029364,3002.9495308017345
Selection 1,302.8037780814887,2871.0465293335874
Selection 1,306.46102745960627,2726.0204565674885
Selection 1,305.0357758637229,2605.7614917223195
Selection 1,294.68253313890347,2475.6871149432313
Selection 1,295.38171316707354,2349.485119858621
Selection 1,294.5480754411787,2241.2197816505154
Selection 1,301.5936588019644,2026.4101637651825
Selection 1,305.7887389709818,1841.3425886166021
Selection 1,318.6697864130297,1674.480585739976
Selection 1,325.9573936297201,1552.7425862198331
Selection 1,336.3644194336292,1370.1759242489363
Selection 1,339.5376210999374,1158.1899180158268
Selection 1,343.86715896667954,973.6601736581462
Selection 1,349.3261414943115,848.6414063135151
Selection 1,353.11784857015385,705.8473313296497
Selection 1,351.07409156473557,556.1421306827233
Selection 1,346.39496368390803,395.5458565200784
Selection 1,357.44738643689675,265.5252628200804
Selection 1,358.30791570233635,134.59035677555292
