#Selection name: Selection 3
#Area (µm^2): 8379014.8
Selection,X,Y
Selection 1,901.3486501955496,849.0712346939526
Selection 1,953.562593057254,874.8506310528685
Selection 1,1026.6956323733275,908.308996539972
Selection 1,1092.2411188603587,915.9270214687298
Selection 1,1145.917722508385,884.1598575158104
Selection 1,1202.3672872304794,815.9937704532869
Selection 1,1196.1509788886126,743.7444220289493
Selection 1,1198.8325236635358,659.1234011203093
Selection 1,1186.628447727666,595.5128929651829
Selection 1,1196.8670732319158,535.939938022298
Selection 1,1264.3018299012786,525.8993811661954
Selection 1,1330.685299130473,520.6429439653526
Selection 1,1399.2018153397191,524.2234156818687
Selection 1,1473.050948999096,534.8886505821295
Selection 1,1569.5713248464556,547.0317823185691
Selection 1,1632.0543653121256,588.1234087842879
Selection 1,1720.2101497877095,587.0111771446893
Selection 1,1769.0416895810465,539.5356457886716
Selection 1,1833.4597083786207,563.8980895108385
Selection 1,1888.4923204639665,600.3122486703002
Selection 1,1960.741668888304,632.2013010220797
Selection 1,2024.6416619907227,660.8755468539235
Selection 1,2042.5744926730183,725.4459261500734
Selection 1,2026.3328635249077,784.1808983507949
Selection 1,2002.320848949463,843.6167288449622
Selection 1,1995.8302917101616,915.165218975854
Selection 1,2032.655824215776,971.310062700798
Selection 1,2099.953456436421,972.6508350882592
Selection 1,2167.845294601509,987.4298034500492
Selection 1,2202.85773717408,1061.659838355864
Selection 1,2266.163524332056,980.268860017017
Selection 1,2327.7781099558474,963.0521236780248
Selection 1,2390.7029958673857,982.280018598209
Selection 1,2448.2190840795065,1056.9518989498918
Selection 1,2475.8420424711817,1117.6218494825175
Selection 1,2461.352559056684,1187.555318328513
Selection 1,2433.104922620851,1273.8675407713372
Selection 1,2386.69591475486,1338.346503768342
Selection 1,2356.3761755384035,1432.7643047353645
Selection 1,2298.540130279276,1493.1600063705548
Selection 1,2277.773394323482,1565.8359641909028
Selection 1,2272.2579442750616,1656.6275852918368
Selection 1,2290.3431354559325,1750.8930257602842
Selection 1,2341.140125680889,1800.5168401462115
Selection 1,2392.9579312462984,1871.867261628956
Selection 1,2413.6332509029467,1930.9831350761149
Selection 1,2471.484532211932,2054.0904179248387
Selection 1,2543.2920351904017,2079.580329336461
Selection 1,2627.105545456593,2111.941699233824
Selection 1,2723.1536037583696,2148.066373445993
Selection 1,2799.135784397799,2178.523237111166
Selection 1,2861.009382869169,2196.395123594032
Selection 1,2926.219676259334,2226.806279109632
Selection 1,2993.334475881689,2248.4871780568765
Selection 1,3032.7196647633664,2305.3481161251234
Selection 1,3100.428670330164,2363.245105583682
Selection 1,3148.422227381337,2422.0410219838336
Selection 1,3205.5574143470194,2385.383086026652
Selection 1,3281.280582138871,2355.96227375179
Selection 1,3329.076070541897,2311.031162721977
Selection 1,3329.197958940757,2233.936750442949
Selection 1,3307.47135184394,2172.413581118303
Selection 1,3254.1604133924934,2109.64105570534
Selection 1,3186.253339177548,2002.4402089078617
Selection 1,3140.8194385024376,1948.0170388168167
