#Selection names:,Selection 1
#Areas (µm^2): 33206723.0
Selection,X,Y
Selection 1,110.1657886610014,995.3094650177427
Selection 1,210.38623226144026,809.3752258279945
Selection 1,214.8869097607385,809.3752258279945
Selection 1,469.25555771213357,802.3429172353417
Selection 1,656.0336739330003,795.9937471916892
Selection 1,1004.9969186107122,813.7955340862338
Selection 1,1424.4841723176023,824.8864893523611
Selection 1,1688.1354676112999,808.5313487968764
Selection 1,1898.3412176008337,806.8034101141101
Selection 1,2106.7386596665424,806.3211946677567
Selection 1,2375.011186321126,803.9101174359901
Selection 1,2735.1457555060238,818.2962115855316
Selection 1,3054.653673335652,819.2204578577089
Selection 1,3414.5069501768435,797.5609473923375
Selection 1,3702.3493870292673,787.5147922599759
Selection 1,4085.188266813302,801.0971939989287
Selection 1,4445.041543654494,800.4542400704574
Selection 1,4645.643169337492,806.1604561856389
Selection 1,4876.343075797043,811.9470415418791
Selection 1,5355.785783333867,785.7064843361507
Selection 1,5542.362976452085,757.8585423092446
Selection 1,5735.12860113184,672.908254509995
Selection 1,6027.953930929915,622.034524919716
Selection 1,6204.967184362125,589.6859053935118
Selection 1,6367.714897506383,560.6324247507218
Selection 1,6562.4093839715515,521.9748198013946
Selection 1,6777.075626839854,519.3226348464511
Selection 1,6952.079649245592,525.0288509616324
Selection 1,7183.101032669379,523.6625738636315
Selection 1,7441.528327294248,530.6948824562843
Selection 1,7637.388167754769,526.154020336457
Selection 1,7854.907518680663,506.7850332412639
Selection 1,8066.801022732433,492.8409699175458
Selection 1,8295.6122520271,495.29223176984226
Selection 1,8506.179663601399,601.5805530702278
Selection 1,8528.683051097889,796.5161472585719
Selection 1,8537.96569844019,1008.6909436540485
Selection 1,8535.594805828954,1225.2458636872345
Selection 1,8519.802249960881,1439.3495218681248
Selection 1,8535.83591355213,1668.2411204038508
Selection 1,8526.39252772771,1854.5370211783645
Selection 1,8500.031416660393,2152.626536265797
Selection 1,8489.623599943268,2410.7725385469607
Selection 1,8505.255417329221,2584.4504684752274
Selection 1,8512.167172060286,2749.2877818870165
Selection 1,8518.235049760233,3059.995267820695
Selection 1,8530.853020606479,3269.5982485022873
Selection 1,8537.724590717015,3584.8867811763225
Selection 1,8554.602131339383,3882.936111643226
Selection 1,8541.74305276996,4140.037313790624
Selection 1,8517.270618867526,4402.764362812144
Selection 1,8483.636091484379,4610.317927846734
Selection 1,8412.067282321435,4760.16637780104
Selection 1,8208.130333134497,4809.151430226434
Selection 1,7990.450243726485,4826.069155469332
Selection 1,7790.49157197196,4823.3366012733295
Selection 1,7614.000718606631,4820.804970179974
Selection 1,7443.256265977014,4825.185093817683
Selection 1,7230.920731099421,4818.91629301509
Selection 1,6860.01668361263,4808.669214780082
Selection 1,6651.940718511158,4801.797644669546
Selection 1,6337.054032042416,4762.175608827511
Selection 1,6083.529261122139,4700.652954796929
Selection 1,5885.097604947733,4655.043410496008
Selection 1,5653.6341906981215,4609.875897020911
Selection 1,5407.06135912944,4627.275837710161
Selection 1,5081.204271256159,4697.639108257221
Selection 1,4879.4372915778085,4726.210373453658
Selection 1,4721.672471379203,4754.460161685858
Selection 1,4383.639443485501,4758.518808359331
Selection 1,4205.259912955288,4744.614929656144
Selection 1,3954.8695424363086,4716.566064526591
Selection 1,3669.5989212977684,4703.988278300874
Selection 1,3420.976674082084,4736.9396671350205
Selection 1,3191.562675479475,4763.019485858629
Selection 1,3005.668620910257,4789.018935341182
Selection 1,2796.3871171929004,4857.975744169712
Selection 1,2613.426539922331,4893.780241061448
Selection 1,2403.6226361380914,4924.2401834227685
Selection 1,2150.941742248933,4919.136736615529
Selection 1,1932.4579604303337,4898.722949386571
Selection 1,1643.0885079977902,4884.17611675491
Selection 1,1480.340794853533,4875.777531064256
Selection 1,1158.6227228947857,4848.291250622115
Selection 1,993.1826401750549,4783.674380810766
Selection 1,893.9266274673226,4619.801498291684
Selection 1,773.7746120842776,4479.1151418180925
Selection 1,691.2354015167949,4337.464354451794
Selection 1,634.7760096729234,4150.525499748809
Selection 1,549.8257218736737,3980.0221548423688
Selection 1,533.9929813850719,3778.85794447196
Selection 1,680.9079540407278,3609.0779227350495
Selection 1,847.7544984789884,3412.8966053102927
Selection 1,877.1696407065431,3178.057682936208
Selection 1,726.1156521363546,3034.478033784497
Selection 1,549.3033218067909,3142.172816803413
Selection 1,406.5675496861974,3228.087535495369
Selection 1,222.5621722818626,3180.8706063732698
Selection 1,150.7120707752125,3025.999078852784
Selection 1,133.71397629125693,2834.438992788913
Selection 1,123.54726729730685,2629.1759511245014
Selection 1,119.89046682912723,2420.457032094557
Selection 1,107.63415756764596,2232.352823396219
Selection 1,86.33630868703953,2027.0897817318069
Selection 1,59.2920590707223,1829.7029256911662
Selection 1,56.31839715154301,1666.3524432389672
Selection 1,56.27821253101354,1468.4833717519737
Selection 1,56.27821253101354,1467.1974638950312
Selection 1,64.15439815478503,1286.406856133052
Selection 1,110.1657886610014,995.3094650177427
