#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (µm^2): 4831309.1, 3763197.0, 664959.6"
Selection,X,Y
Selection 1,4517.179109836271,3178.941664884435
Selection 1,4538.7630543100995,3221.1377648628913
Selection 1,4537.808314270183,3268.3462500509095
Selection 1,4530.016953587291,3342.6284349422763
Selection 1,4608.305636860451,3432.118264755172
Selection 1,4690.992943888941,3414.097546501747
Selection 1,4776.714960330023,3344.3674257292673
Selection 1,4865.147756527296,3268.704277565878
Selection 1,4939.651577499359,3221.427596660723
Selection 1,5054.18628443078,3140.1894486213923
Selection 1,5232.194155087371,3055.79724866448
Selection 1,5317.370605791357,3021.597096520325
Selection 1,5430.149273006505,3045.584940023229
Selection 1,5381.713264910022,3137.529815653053
Selection 1,5391.618692824155,3220.830884135775
Selection 1,5414.242621984322,3295.743879410659
Selection 1,5467.213645270408,3348.3057283939233
Selection 1,5526.185891664542,3406.8006047680983
Selection 1,5577.861196325027,3475.831719439924
Selection 1,5637.020980941286,3606.1366859592536
Selection 1,5662.884206665455,3692.9668828038098
Selection 1,5717.696514314238,3842.6735308485872
Selection 1,5739.161116283077,3964.1471519986885
Selection 1,5761.631605079686,4048.556400884885
Selection 1,5765.552858815056,4121.150741777114
Selection 1,5762.927323705287,4224.109225724546
Selection 1,5745.759051916071,4424.110215157787
Selection 1,5719.230917949819,4530.222751022801
Selection 1,5699.181377111569,4613.233987707692
Selection 1,5650.608977580814,4738.032150068217
Selection 1,5618.812724465734,4827.5731266689645
Selection 1,5562.875187484193,4955.678781310629
Selection 1,5508.966473087476,5050.0957516866665
Selection 1,5443.00416568681,5076.334053855087
Selection 1,5379.991323052314,5055.363870835491
Selection 1,5309.732685472024,5051.4255681708355
Selection 1,5229.040103169789,5071.338717574809
Selection 1,5144.085288546497,5089.427631545372
Selection 1,5064.176956991337,5029.671134404165
Selection 1,5021.878563437174,4977.416166148016
Selection 1,4950.000277574883,4914.130540644974
Selection 1,4869.955554585449,4871.440021717275
Selection 1,4757.73950203668,4816.031001543544
Selection 1,4643.221844034544,4811.905160656763
Selection 1,4574.838588675519,4790.06548224367
Selection 1,4543.741341661092,4731.076186920253
Selection 1,4546.128191760885,4617.223437160201
Selection 1,4541.746616934838,4534.450885485289
Selection 1,4517.554186280523,4435.9080742224705
Selection 1,4497.606939017981,4373.508993042208
Selection 1,4460.457322107654,4307.3932452779845
Selection 1,4411.288210051951,4218.1080026165
Selection 1,4343.859694732842,4142.598294816668
Selection 1,4280.352433149104,4067.821690976059
Selection 1,4189.260003983492,4037.065422547317
Selection 1,4099.190510574932,4043.4246731703333
Selection 1,3982.6781278465405,4048.89737947057
