#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4"
"#Areas (µm^2): 5408.9, 2512.0, 5283.5, 4838.7"
Selection,X,Y
Selection 1,9642.939089996935,6670.995475114574
Selection 1,9674.489658217466,6695.947785591365
Selection 1,9678.698822025859,6699.660566707109
Selection 1,9699.81324680583,6715.851520877072
Selection 1,9712.961334713544,6728.761506517579
Selection 1,9711.052480944252,6749.9485726672065
Selection 1,9696.0762519002,6745.376202010534
Selection 1,9675.369425916633,6740.884543986814
Selection 1,9656.264745697139,6736.546239965699
Selection 1,9633.923488896313,6726.691227482386
Selection 1,9616.255493543345,6717.607020643755
Selection 1,9595.895731881466,6704.923030375511
Selection 1,9591.307218698203,6667.121268732928
Selection 1,9610.234331125204,6666.487674564263
Selection 1,9642.939089996935,6670.995475114574
Selection 2,9986.988794845356,6874.8957641069455
Selection 2,10003.849663868814,6886.901768258401
Selection 2,10003.849663868814,6887.0309084711225
Selection 2,10006.303327910522,6907.18081728733
Selection 2,9983.255835571375,6902.023280041764
Selection 2,9953.202486692084,6882.498894130926
Selection 2,9938.694390919149,6874.1289940939105
Selection 2,9913.67347470435,6862.086669257627
Selection 2,9903.015371523175,6847.070083897101
Selection 2,9930.897550576086,6846.706877048821
Selection 2,9949.320209047144,6849.451106569154
Selection 2,9970.918909624821,6861.715391146053
Selection 2,9986.988794845356,6874.8957641069455
Selection 3,9566.44369211766,6670.0753510989325
Selection 3,9576.141314966719,6683.917567650023
Selection 3,9576.141314966719,6683.917567650023
Selection 3,9540.8658587355,6672.8397587775025
Selection 3,9514.295259968043,6665.975149345024
Selection 3,9499.093035551728,6662.117085489967
Selection 3,9479.911678330933,6658.238843476674
Selection 3,9441.419823676619,6650.381468658898
Selection 3,9413.30357798815,6645.421677364061
Selection 3,9398.391919050458,6640.191498748838
Selection 3,9383.270407267097,6611.352874995459
Selection 3,9399.73982002074,6610.4569647697035
Selection 3,9439.793464122657,6616.014029548377
Selection 3,9485.928805117428,6623.621195204006
Selection 3,9530.268290029038,6643.706533913853
Selection 3,9548.283349703694,6656.693196555663
Selection 3,9566.44369211766,6670.0753510989325
Selection 4,9873.05484217178,6832.561988124164
Selection 4,9883.3093821882,6852.2800843540845
Selection 4,9873.11941227814,6852.619077412479
Selection 4,9853.441672364695,6847.425219482084
Selection 4,9829.308595112358,6838.748611439855
Selection 4,9799.222961179885,6822.787688273803
Selection 4,9776.429713634534,6807.4684305397095
Selection 4,9750.428138929381,6792.153208437265
Selection 4,9732.949818263849,6781.11575588122
Selection 4,9723.566974683301,6757.027070577005
Selection 4,9747.207704874638,6766.8296198489
Selection 4,9768.790262925724,6772.52389610359
Selection 4,9793.742573402516,6778.3473125710025
Selection 4,9823.912955599586,6792.447809547536
Selection 4,9838.550191585244,6805.7492514578535
Selection 4,9855.136637656664,6817.880360190384
Selection 4,9873.05484217178,6832.561988124164
