#Selection names:,"Selection 1, Selection 7"
"#Areas (µm^2): 1203034.8, 5751014.1"
Selection,X,Y
Selection 1,6570.929970596933,6892.342910765
Selection 1,6569.890608693866,6973.428202420209
Selection 1,6569.890608693866,6973.428202420209
Selection 1,6580.48004953236,7036.136370571918
Selection 1,6592.666191265422,7117.266851875089
Selection 1,6612.248372047843,7237.968401574735
Selection 1,6634.526868491843,7348.637849427389
Selection 1,6641.696959301407,7416.181309910756
Selection 1,6654.440440025966,7480.124661773355
Selection 1,6700.533880944589,7531.731239743029
Selection 1,6736.444587856353,7589.393230539265
Selection 1,6740.496592956716,7652.538231954581
Selection 1,6737.212811871664,7736.048701383614
Selection 1,6728.144755847803,7805.896833912912
Selection 1,6727.60248007229,7870.6084097908215
Selection 1,6723.098578492333,7965.356038345769
Selection 1,6729.455255638627,8046.968542560507
Selection 1,6758.0904292289215,8113.743779028563
Selection 1,6793.187722477415,8198.429179304541
Selection 1,6806.247530737692,8270.807932119567
Selection 1,6832.562969066069,8336.287732012786
Selection 1,6868.2627909540215,8414.435696550636
Selection 1,6897.033533488195,8514.380134620915
Selection 1,6921.55644911418,8612.17053280513
Selection 1,6944.286842037775,8676.535654715351
Selection 1,6977.1246528882975,8770.123415639337
Selection 1,7008.71221681194,8853.980339036061
Selection 1,7049.789606807066,8940.11180804674
Selection 1,7087.748911092992,8992.441420383766
Selection 1,7132.01970287725,9073.918355654625
Selection 1,7168.608254508405,9185.943492946062
Selection 1,7189.500935081649,9256.830987378427
Selection 1,7224.748860490009,9319.1324486985
Selection 1,7262.000193624568,9376.975198086575
Selection 1,7282.847684549853,9439.939440910053
Selection 1,7322.885712641912,9500.418253095762
Selection 1,7364.610820924456,9551.979641417474
Selection 1,7411.788813394104,9616.32970011171
Selection 1,7413.47589358459,9716.605528933693
Selection 1,7405.47732589577,9799.66410188313
Selection 1,7457.4454210491185,9846.269692145295
Selection 1,7429.608597906108,9940.33947598085
Selection 1,7372.940779364979,9999.718673399544
Selection 1,7275.060001884844,9998.408173608723
Selection 1,7199.774048384428,9957.933312253055
Selection 1,7150.667964268509,9895.797546308833
Selection 1,7112.588154254692,9839.44605530342
Selection 1,7063.256121898979,9760.816067854004
Selection 1,7016.19863515722,9677.983443144363
Selection 1,6972.304423772624,9597.56093299256
Selection 1,6932.80867145608,9548.364469580722
Selection 1,6888.688511831686,9489.783622609308
Selection 1,6842.429375537212,9410.1443996888
Selection 1,6815.2252074656335,9355.540241737815
Selection 1,6796.531756426413,9275.795576305401
Selection 1,6779.284374121896,9207.257943566927
Selection 1,6772.9427601915895,9140.347138154992
Selection 1,6777.988937547059,9068.254586443709
Selection 1,6761.238641370096,9012.129043678093
Selection 1,6720.492642126673,8950.43011099748
Selection 1,6677.60766621317,8881.711719667168
Selection 1,6640.883545638137,8791.211918020408
Selection 1,6605.906758117536,8736.321558965681
Selection 1,6572.285660035715,8687.36610700963
Selection 1,6545.32250341992,8628.393616422567
Selection 1,6514.518226727574,8573.7743952556
Selection 1,6489.995311101588,8501.772222840234
