#Selection names:,Selection 1
#Areas (µm^2): 447794.2
Selection,X,Y
Selection 1,4569.363366901073,1378.2321416889993
Selection 1,4579.14179375905,1384.7927089672712
Selection 1,4588.55775833646,1387.611860038352
Selection 1,4608.754962081417,1391.4982611577705
Selection 1,4634.662960424649,1395.8035075791781
Selection 1,4668.814961971455,1402.1627069238016
Selection 1,4686.756844859548,1406.4196250411335
Selection 1,4716.7526122558465,1413.503748946892
Selection 1,4743.7278606474165,1419.8387841394776
Selection 1,4808.995235301608,1431.5906167472115
Selection 1,4827.718425772257,1433.527776268911
Selection 1,4847.810918191716,1426.8504155891228
Selection 1,4863.859942503513,1415.8073981078323
Selection 1,4878.942400733794,1407.0116467660603
Selection 1,4896.0627024526,1398.3367161844776
Selection 1,4929.626709633152,1383.258285312869
Selection 1,4946.066387736226,1380.6968851968581
Selection 1,4967.987300993215,1383.1374645526796
Selection 1,4995.929115466299,1385.6183174952307
Selection 1,5015.0429597282255,1383.8905806245257
Selection 1,5044.176872368508,1380.0404257331638
Selection 1,5064.595580840479,1378.6308501976234
Selection 1,5094.853126550521,1386.5405826313415
Selection 1,5114.409980266475,1406.8747165711795
Selection 1,5129.311207356473,1432.1302828093897
Selection 1,5135.166986866975,1447.86114578602
Selection 1,5137.688113396256,1467.5589570555285
Selection 1,5140.124665393405,1502.725852987924
Selection 1,5140.354224837764,1542.4758830901624
Selection 1,5139.762203112837,1564.187373696157
Selection 1,5139.282947430754,1619.148737506212
Selection 1,5137.365924702418,1708.680948165063
Selection 1,5128.521845056571,1755.072092719033
Selection 1,5111.031026339851,1783.1508373869972
Selection 1,5093.290511385408,1801.128966503146
Selection 1,5072.738900077228,1823.1505637269595
Selection 1,5064.273392146641,1839.5137220152467
Selection 1,5055.12726060032,1867.681068574016
Selection 1,5036.593355987301,1919.6944058354552
Selection 1,5005.929047051289,1984.430169144815
Selection 1,4980.085486446825,2034.711742176876
Selection 1,4964.9385904777755,2058.8275659106353
Selection 1,4945.764335835753,2077.615194120052
Selection 1,4909.324794562698,2102.6774471419594
Selection 1,4842.764637774482,2140.2929771475224
Selection 1,4748.613046717732,2163.885244253795
Selection 1,4614.804054808222,2166.5714924886674
Selection 1,4502.267571409353,2153.482576801507
Selection 1,4435.655058958388,2136.2777005505686
Selection 1,4387.866420944896,2120.168265858679
Selection 1,4339.695183857473,2103.1164292373137
Selection 1,4312.240679783819,2089.3831361624775
Selection 1,4288.769233437736,2067.937451228899
Selection 1,4272.90949498357,2043.773299191064
Selection 1,4259.635320797453,2024.8648502214585
Selection 1,4250.646256239379,2009.8105835018875
Selection 1,4240.573832198274,1991.6310864520897
Selection 1,4231.794190291194,1974.3053894409618
Selection 1,4221.025033199666,1941.989863449031
Selection 1,4205.334443809765,1887.3748524848518
Selection 1,4192.922124379664,1845.9534685333297
Selection 1,4177.57788783564,1781.1613222025487
Selection 1,4164.456753279094,1729.9776208277417
Selection 1,4150.940937572599,1682.8414149192718
Selection 1,4139.164940812828,1628.8989728534784
Selection 1,4131.996242374937,1581.2190735241575
Selection 1,4124.795325067662,1543.6720086160353
Selection 1,4116.3700907238035,1506.9344428011802
Selection 1,4112.854206602298,1489.439596725788
Selection 1,4111.46074050145,1460.035851054416
Selection 1,4115.576701065228,1430.4508742427602
Selection 1,4135.129527422509,1415.6583858369322
Selection 1,4153.639267883491,1407.7969817072901
Selection 1,4173.357215946364,1405.4611136769659
Selection 1,4190.8399799457375,1405.010049505593
Selection 1,4202.966356910058,1391.5224253098083
Selection 1,4221.347221893504,1382.5494701864257
Selection 1,4245.24154090025,1377.0239340871074
Selection 1,4281.205853849893,1367.4629845974707
Selection 1,4302.89318030385,1365.2197458166252
Selection 1,4323.267587830418,1364.7002165478118
Selection 1,4340.770488623156,1365.6788647053438
Selection 1,4368.37400496771,1366.4762817225926
Selection 1,4420.065153535312,1364.5793957876226
Selection 1,4438.643359093733,1370.221725288457
Selection 1,4458.115638277555,1374.3497679282539
Selection 1,4476.375682500812,1380.3384502749636
Selection 1,4497.841504227756,1386.8305524557952
Selection 1,4500.181399616752,1404.3092890964958
Selection 1,4490.451301062851,1420.108617170567
Selection 1,4473.069221030301,1425.674426856615
Selection 1,4447.769353846688,1432.4685809379193
Selection 1,4432.964783364842,1443.2941210508695
Selection 1,4407.737408637342,1475.1626102301004
Selection 1,4379.014286581703,1512.689538344858
Selection 1,4359.815867787643,1536.672459242409
Selection 1,4343.058028349405,1560.0472489803412
Selection 1,4331.008171199871,1585.2987878598785
Selection 1,4323.726706719137,1606.6679529786704
Selection 1,4318.942204615646,1631.2308135251296
Selection 1,4315.748509187978,1663.5785583864445
Selection 1,4313.83954117699,1694.2630041158218
Selection 1,4312.039311850171,1719.5266250713778
Selection 1,4309.7598268412685,1736.3851484764407
Selection 1,4309.6510881570985,1755.309706880738
Selection 1,4308.036117329236,1780.271275935822
Selection 1,4330.8873504396815,1807.878819639048
Selection 1,4350.311301319428,1822.5585420020325
Selection 1,4367.487986059656,1828.8774677599265
Selection 1,4388.34567662698,1843.7343939045218
Selection 1,4407.064839738956,1856.7387350595498
