#Selection names:,Selection 1
#Areas (µm^2): 844271.3
Selection,X,Y
Selection 1,1703.0021605967754,7753.798247263023
Selection 1,1735.389576629455,7758.3428980726985
Selection 1,1746.7240875986947,7761.434128337036
Selection 1,1835.859983431434,7781.814555237706
Selection 1,1920.4295356105376,7797.628638484743
Selection 1,2007.5371505329917,7835.938200918575
Selection 1,2043.9594355422812,7891.059717421615
Selection 1,2029.5662335746438,7990.749181841024
Selection 1,1990.443189492301,8022.247191271333
Selection 1,1929.4971443859295,8060.05781829408
Selection 1,1891.361124703779,8120.266306705802
Selection 1,1842.8559256086207,8157.816619601026
Selection 1,1732.135650035415,8225.151207253695
Selection 1,1780.3696885810698,8229.45723677981
Selection 1,1838.8969815858716,8267.332942334437
Selection 1,1870.210601842518,8309.68822016686
Selection 1,1910.407441700894,8389.24672539114
Selection 1,1911.079919863662,8491.734566681424
Selection 1,1874.5817099005121,8560.35987854973
Selection 1,1836.6626186579642,8621.22999870224
Selection 1,1762.8744099271141,8648.693139155941
Selection 1,1712.4710869854325,8665.494246803168
Selection 1,1624.528297570508,8703.196409606113
Selection 1,1470.66095536033,8735.301818667309
Selection 1,1352.7278091703351,8761.44169563943
Selection 1,1276.412384118114,8770.878082762147
Selection 1,1206.35534454843,8759.294104087363
Selection 1,1084.73441488519,8724.19508255965
Selection 1,1022.4651062972421,8692.447605423798
Selection 1,929.8692018528399,8591.217949083211
Selection 1,895.7355118813587,8512.6030825712
Selection 1,937.6352399906157,8266.812314079389
Selection 1,953.7204837871541,8178.750214022684
Selection 1,1049.1256115244107,8024.991336032308
Selection 1,1166.9502934946042,7901.645825274227
Selection 1,1219.6313650521136,7863.043409446929
Selection 1,1301.2398440306401,7837.250617978171
Selection 1,1367.8477214106417,7811.501212197335
Selection 1,1452.3305022139039,7771.391143714798
Selection 1,1501.150247546486,7758.527287246361
Selection 1,1583.615593861443,7743.136214456551
Selection 1,1632.6197283676875,7741.9322616167565
Selection 1,1703.0021605967754,7753.798247263023
