#Selection names:,Selection 1
#Areas (µm^2): 1258762.9
Selection,X,Y
Selection 1,2545.3339247583253,2020.7927179261987
Selection 1,2558.1238749316803,2080.2944245479666
Selection 1,2562.2510766409846,2160.840484761699
Selection 1,2569.8783787398042,2220.692201422419
Selection 1,2593.91240141448,2293.188030740265
Selection 1,2603.01266242722,2372.1882132819605
Selection 1,2606.862772855688,2431.033651080695
Selection 1,2612.5066847337825,2517.7923894858172
Selection 1,2604.9523013930775,2604.0552803357587
Selection 1,2582.6974964164065,2689.5014810948132
Selection 1,2540.331697951642,2749.7761265525996
Selection 1,2482.784214047353,2777.835264675218
Selection 1,2414.89685024237,2810.823710846404
Selection 1,2331.186115926451,2820.3906519110806
Selection 1,2272.5594344020615,2839.4661990339414
Selection 1,2269.2635065352674,2901.111717144288
Selection 1,2279.530467677847,2977.9389206941596
Selection 1,2293.735041758632,3058.6454021757445
Selection 1,2313.1605989204445,3147.664622082429
Selection 1,2333.227841153668,3235.3713043430457
Selection 1,2359.507761578283,3301.55236920814
Selection 1,2372.210209241901,3366.7563227144947
Selection 1,2384.4459768535826,3437.1520917986313
Selection 1,2390.162807489792,3524.173337732967
Selection 1,2389.6815436862335,3583.193780551177
Selection 1,2368.841362616992,3668.406641284263
Selection 1,2328.4443706213306,3712.34748492431
Selection 1,2315.7565067093356,3768.203253640332
Selection 1,2316.602364303468,3863.1580604575706
Selection 1,2310.200097340979,3929.8933078843393
Selection 1,2281.0325940950142,3992.559688608294
Selection 1,2234.8604364566518,4056.9469520237617
Selection 1,2228.3706669844246,4115.573633548151
Selection 1,2245.710747664151,4183.023484804446
Selection 1,2288.4119724162438,4250.837929851314
Selection 1,2306.889585722562,4308.195824984503
Selection 1,2317.24404937488,4361.732777192472
Selection 1,2317.506556904093,4418.653159776973
Selection 1,2310.170929837733,4488.494746299436
Selection 1,2256.8527339041098,4440.805878492282
Selection 1,2196.986433491767,4367.05584653486
Selection 1,2176.9337750101654,4445.34142524703
Selection 1,2182.475600626899,4508.999501081348
Selection 1,2148.8600531359243,4586.380887192893
Selection 1,2089.9708640823214,4650.068130530458
Selection 1,2071.551585782495,4722.8264673775175
Selection 1,2066.068095172253,4781.3218951373
Selection 1,2015.418725785635,4683.3482517341035
Selection 1,1986.7908213497203,4570.951277975778
Selection 1,1967.0298379005797,4513.535047836097
Selection 1,1953.5398676493203,4445.953942815196
Selection 1,1898.1653627368562,4361.368183401898
Selection 1,1860.5538673011845,4224.616344433191
Selection 1,1820.2735453185073,4113.41523830795
Selection 1,1803.6480684683074,4047.16125468474
Selection 1,1761.7343663038553,3952.9356354486504
Selection 1,1709.8453780292841,3883.1669676843035
Selection 1,1646.3039722079495,3836.6448000069886
Selection 1,1654.922969417132,3710.451597213322
Selection 1,1658.1605622774339,3580.2478627233345
Selection 1,1681.5091486258289,3496.682965923645
Selection 1,1712.9663008766026,3377.48996390901
Selection 1,1788.30596176093,3298.5043651189367
Selection 1,1831.8530441071548,3168.9568994519836
Selection 1,1847.2534858210247,3083.7148712156513
Selection 1,1890.9609894351033,2879.659018506881
Selection 1,1903.240508301654,2802.846398708633
Selection 1,1934.172645494,2703.837308940205
Selection 1,1991.0784443268774,2552.18087581281
Selection 1,2035.5588867769738,2437.7275930756437
Selection 1,2081.0601918406787,2383.403118280034
Selection 1,2193.8217593895797,2303.5424943925823
Selection 1,2282.9576493092477,2223.9881292892132
Selection 1,2381.529226528987,2143.33998281412
Selection 1,2444.5456172918934,2093.90106481221
Selection 1,2489.521907297171,2057.5729395193603
Selection 1,2545.3339247583253,2020.7927179261987
