#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8"
"#Areas (µm^2): 139824.5, 234358.5, 309516.9, 46601.4, 10195.7, 16594.0, 53596.8, 194646.2"
Selection,X,Y
Selection 1,3729.490689148888,994.5158638298005
Selection 1,3725.823353007956,958.505063941984
Selection 1,3725.741985803562,957.5809649777873
Selection 1,3749.600012520716,974.7552570482356
Selection 1,3711.903749113295,1043.5279805912528
Selection 1,3657.265671362268,1105.3147484426693
Selection 1,3611.3687561404986,1145.6845057087723
Selection 1,3556.1901676745633,1202.8624026255477
Selection 1,3488.0800056530456,1291.17487910963
Selection 1,3440.6080538319216,1364.6262169053412
Selection 1,3388.2133861449192,1419.1364319066051
Selection 1,3362.082889647885,1437.6125992473685
Selection 1,3345.780389053094,1468.9041012802938
Selection 1,3332.604713884327,1496.1853625251952
Selection 1,3315.9011892107337,1515.8646021023658
Selection 1,3293.6298229792756,1536.8980244383902
Selection 1,3235.17329856487,1570.316697671919
Selection 1,3203.939915963655,1579.7611053248731
Selection 1,3175.9728454245696,1581.6209271396087
Selection 1,3136.585306554374,1580.3132399261226
Selection 1,3117.295467169664,1554.2989822925094
Selection 1,3138.0557281766487,1525.5182397094773
Selection 1,3158.12436794628,1501.3405561179154
Selection 1,3174.9906270286624,1468.090429236347
Selection 1,3192.223038530821,1429.993141750124
Selection 1,3213.064666742201,1404.961102512418
Selection 1,3231.081690572452,1376.5523242923325
Selection 1,3269.922906784569,1327.7087538828412
Selection 1,3279.4719294146016,1299.5905728213081
Selection 1,3295.972036077208,1273.1462313930374
Selection 1,3316.796228459075,1241.4362694517968
Selection 1,3332.0990748284457,1215.1953460345126
Selection 1,3343.304501262228,1185.7287941572968
Selection 1,3349.9184925908808,1157.97676551554
Selection 1,3348.8025995020394,1119.2111045646463
Selection 1,3350.551994396525,1093.4293246578752
Selection 1,3370.510207245906,1076.5746894618346
Selection 1,3397.018480049058,1061.1962878312402
Selection 1,3425.5086254735374,1043.9173807837128
Selection 1,3460.5081472495917,1015.0901426553121
Selection 1,3486.7432587237045,979.724468459482
Selection 1,3527.856944715702,957.3833589099715
Selection 1,3592.7821618794846,926.2022837972963
Selection 1,3629.0196275509725,912.1664410392142
Selection 1,3671.9582636986784,925.7605761162965
Selection 1,3688.342131497865,947.6657899279785
Selection 1,3729.490689148888,994.5158638298005
Selection 2,4207.708997149102,1400.9741094970786
Selection 2,4197.921684849056,1424.2741896698124
Selection 2,4193.50460803906,1427.2150329143626
Selection 2,4170.268459241207,1441.5763444900235
Selection 2,4145.666503798159,1459.244651730011
Selection 2,4121.546939638308,1480.1560232594436
Selection 2,4100.577448677165,1499.1087699402326
Selection 2,4070.3553441877125,1521.420819773888
Selection 2,4047.217998423768,1539.9725423758748
Selection 2,4026.4228657577564,1562.5519415953984
Selection 2,3997.764173981316,1592.925156607298
Selection 2,3974.830246228359,1608.3151821242345
Selection 2,3933.245792839507,1639.2114720215284
Selection 2,3881.106850652031,1675.0885972164108
Selection 2,3815.2110389786826,1709.9253845836756
Selection 2,3777.8402443888403,1732.0863238948837
Selection 2,3752.041028652556,1748.6271141596876
Selection 2,3726.4801025862853,1772.3224064680526
Selection 2,3697.6935480600814,1794.0183903255763
Selection 2,3670.0926299407724,1809.6641413420393
Selection 2,3628.8045856536437,1833.5686636045616
Selection 2,3606.707577717317,1854.6834531449808
Selection 2,3582.146305876466,1875.0601259026769
Selection 2,3548.5648982341477,1901.312673206303
Selection 2,3502.824905477996,1932.9005843409518
Selection 2,3468.912217074928,1956.8283543761586
Selection 2,3445.664444390734,1970.2946267034781
Selection 2,3425.404010496459,1983.3540630088241
Selection 2,3391.903970058535,2004.939619946098
Selection 2,3361.9434030117804,2023.6540769568744
Selection 2,3332.9011229860507,2048.912781978251
Selection 2,3310.629756754593,2065.4651961293976
Selection 2,3275.107160093144,2088.265449189421
Selection 2,3253.0973313043833,2099.813780270294
Selection 2,3218.7313113339737,2104.7829916815404
Selection 2,3192.949531427202,2102.2722322316476
Selection 2,3185.8124652131546,2079.8613793640848
Selection 2,3206.6599053677055,2054.8119042968656
Selection 2,3231.982541763964,2018.5163191936676
Selection 2,3257.020392944841,1986.1612315604402
Selection 2,3289.009328158292,1946.808564349271
Selection 2,3304.7364463791496,1923.9676276870503
Selection 2,3344.8621020320684,1883.8884675794998
Selection 2,3370.92285521105,1859.478306261096
Selection 2,3401.07521638245,1828.5180849889207
Selection 2,3423.276839295855,1807.135946062633
Selection 2,3443.9731689279583,1783.4929612428077
Selection 2,3465.2158212181407,1759.0072446631802
Selection 2,3499.593465074893,1718.7188546014718
Selection 2,3527.531475898123,1688.0550424310202
Selection 2,3552.755309260473,1663.7262483170111
Selection 2,3578.1128173157585,1641.5536851194606
Selection 2,3603.2901551327404,1614.8710540211773
Selection 2,3637.847969227795,1580.603837084675
Selection 2,3669.569555055378,1552.7355695794977
Selection 2,3695.3280871894644,1533.9862409096952
Selection 2,3713.4032304514258,1517.5558775651407
Selection 2,3733.750843493266,1492.3204203164482
Selection 2,3756.5685323828034,1472.0716103085153
Selection 2,3785.0761136367955,1436.5083300448691
Selection 2,3802.8780955697175,1402.0725667564068
Selection 2,3821.8599019663616,1383.9102443468803
Selection 2,3847.856723770462,1361.9062275012905
Selection 2,3876.829260478138,1336.583591105032
Selection 2,3935.0649310520457,1301.7758634536226
Selection 2,3970.546844111296,1274.8026351967862
Selection 2,3999.0428014789472,1249.6601690388302
Selection 2,4017.5654643650782,1233.1542504330525
Selection 2,4067.251766534372,1216.9679887016825
Selection 2,4109.237244002027,1259.0522692032448
Selection 2,4149.118798041762,1306.5765285129087
Selection 2,4168.356329937932,1324.5354329114487
Selection 2,4201.379791035831,1370.856619984705
Selection 2,4207.708997149102,1400.9741094970786
Selection 3,4432.514959005258,1706.130185692981
Selection 3,4422.640467557647,1744.4192673038485
Selection 3,4424.430546054329,1758.6759639024306
Selection 3,4425.302337529987,1784.707657365557
Selection 3,4421.425771434897,1834.1091743194693
Selection 3,4415.747502956782,1870.4105713658385
Selection 3,4410.040174762814,1897.8196953605034
Selection 3,4391.656998512787,1940.310811884039
Selection 3,4372.529893536866,1967.8071150262692
Selection 3,4362.783264839018,1992.467189901028
Selection 3,4351.066387406184,2033.6041236657097
Selection 3,4333.037739689592,2076.531135927074
Selection 3,4307.035105942321,2110.6239945684442
Selection 3,4289.657395860885,2131.8375871427716
Selection 3,4275.470442580356,2153.7602367839663
Selection 3,4243.115354947129,2181.1809846649735
Selection 3,4200.7462892301855,2212.75727191328
Selection 3,4163.346434924488,2241.276477053615
Selection 3,4138.02379852823,2257.387183523762
Selection 3,4110.92270752163,2266.424755154742
Selection 3,4076.1963470746155,2283.4595605890854
Selection 3,4038.744185280379,2309.026298598528
Selection 3,3997.113236346159,2335.9879029690214
Selection 3,3963.543452590182,2358.0035437009537
Selection 3,3930.1364032429956,2393.3110984650734
Selection 3,3891.022025701839,2424.893197656551
Selection 3,3871.511332476629,2437.168021633805
Selection 3,3836.3316404622724,2456.951876188054
Selection 3,3806.0572284842806,2485.0003139315345
Selection 3,3762.804747405338,2532.8907256609746
Selection 3,3738.3132188825393,2557.4926811040227
Selection 3,3701.4596872349207,2589.783837362368
Selection 3,3666.4485415725244,2615.106473758627
Selection 3,3634.61071688152,2634.553235608955
Selection 3,3610.287734710683,2651.396246918654
Selection 3,3585.5986001200686,2664.0604710883686
Selection 3,3555.6903405618527,2653.802391391468
Selection 3,3569.1798606618563,2632.5713629876277
