#Selection name: Selection 1
#Area (µm^2): 4332272.37
Cell ID,Cluster,Transcripts,Area (µm^2)
hgpackaf-1,Cluster 10,0,74.96
hnpfaecb-1,Cluster 19,0,158.01
ifbnjlop-1,Cluster 6,0,29.05
hjgcfnei-1,Cluster 6,0,9.38
hjhlhdgo-1,Cluster 8,0,43.71
hjhhofhe-1,Cluster 6,0,42.15
gpdcndlh-1,Cluster 25,0,56.49
gpdbmena-1,Cluster 1,0,55.73
gpdcennl-1,Cluster 1,0,37.09
gpdcbamb-1,Cluster 9,0,27.46
hjhmijdc-1,Cluster 24,0,28.29
hjhmklll-1,Cluster 15,0,111.59
baidaoel-1,Cluster 5,0,31.80
hjfmakhi-1,Cluster 5,0,35.11
gpdampho-1,Cluster 1,0,32.50
gpdbmfdc-1,Cluster 12,0,25.66
gpdamdcb-1,Cluster 6,0,48.70
hjfhoiam-1,Cluster 6,0,51.00
gpdahleg-1,Cluster 4,0,8.00
oelmnmmp-1,Cluster 4,0,25.75
gpdanhfi-1,Cluster 2,0,40.14
hjgopgbc-1,Cluster 5,0,164.30
hjhamnhb-1,Cluster 2,0,30.16
hjhbdbbk-1,Cluster 14,0,70.01
gpdbdaim-1,Cluster 4,0,23.65
hjhcdcmc-1,Cluster 1,0,36.08
gpdbfpci-1,Cluster 1,0,21.90
gpcnmcpf-1,Cluster 1,0,29.43
gpdbimak-1,Cluster 14,0,33.01
gpdbgjbc-1,Cluster 2,0,15.07
hjhkamhn-1,Cluster 4,0,38.40
befkgfmn-1,Cluster 15,0,159.49
hjhhpbhn-1,Cluster 15,0,63.71
hjhhomhg-1,Cluster 15,0,47.49
hjhbanji-1,Cluster 8,0,22.04
hjhcceml-1,Cluster 11,0,45.53
hjhhmich-1,Cluster 4,0,16.94
hjgoncnm-1,Cluster 3,0,40.13
hjgphgfb-1,Cluster 12,0,14.70
hjfadhhn-1,Cluster 3,0,36.05
hjgpnade-1,Cluster 12,0,27.82
hjepgeok-1,Cluster 3,0,43.52
hjfahndn-1,Cluster 11,0,36.94
hjephjec-1,Cluster 5,0,43.64
hjgpalpn-1,Cluster 7,0,53.99
baidiggn-1,Cluster 11,0,26.72
gpdciipe-1,Cluster 4,0,46.62
gpdcflgi-1,Cluster 7,0,61.45
hjffkpmi-1,Cluster 3,0,23.81
hjihhfge-1,Cluster 6,0,46.64
hjhhmbkm-1,Cluster 9,0,57.50
hjfflpij-1,Cluster 10,0,23.57
hjigiajc-1,Cluster 5,0,16.31
hjffmadc-1,Cluster 2,0,37.94
hjgollah-1,Cluster 6,0,55.42
hjigkdag-1,Cluster 10,0,39.85
hjfffmpl-1,Cluster 2,0,48.75
bafcehbe-1,Cluster 6,0,47.27
hjkklfhf-1,Cluster 10,0,79.63
baijkpig-1,Cluster 6,0,24.51
hihbhgal-1,Cluster 5,0,78.01
hjkligbc-1,Cluster 10,0,20.42
bafcfenm-1,Cluster 6,0,51.01
higpcain-1,Cluster 5,0,16.95
bakicglm-1,Cluster 6,0,50.55
hihamibh-1,Cluster 6,0,20.88
hjjgaflp-1,Cluster 6,0,25.81
hjjgdhdi-1,Cluster 6,0,25.94
higpjdaf-1,Cluster 6,0,29.62
hjjgciae-1,Cluster 6,0,25.65
hjjhleni-1,Cluster 12,0,20.14
higphjkh-1,Cluster 6,0,35.92
ofbgnlld-1,Cluster 4,0,26.76
higpnabj-1,Cluster 14,0,12.50
higpkgpp-1,Cluster 12,0,14.93
bafbjcbb-1,Cluster 6,0,39.00
higpgkbc-1,Cluster 6,0,32.74
hjjhmpke-1,Cluster 5,0,39.15
higpaddp-1,Cluster 5,0,31.14
bafbhilo-1,Cluster 6,0,31.94
bafbgnpp-1,Cluster 6,0,47.35
bakilmgl-1,Cluster 6,0,55.81
hihadffg-1,Cluster 10,0,50.90
hihamlgg-1,Cluster 5,0,52.04
hijieclm-1,Cluster 12,0,63.89
hijhiamg-1,Cluster 1,0,47.38
hijgnaij-1,Cluster 5,0,38.85
ofbinfnf-1,Cluster 7,0,17.60
hijgennl-1,Cluster 7,0,36.49
hijhcjgf-1,Cluster 1,0,30.64
bakiikmm-1,Cluster 6,0,47.34
hijhgkfm-1,Cluster 12,0,52.46
hijgcofh-1,Cluster 26,0,69.80
hjjgonjf-1,Cluster 7,0,46.80
hjjaljih-1,Cluster 3,0,22.31
hijhacpl-1,Cluster 5,0,72.96
hjjahpnd-1,Cluster 12,0,49.14
hihbdmal-1,Cluster 5,0,21.75
hijgfbka-1,Cluster 5,0,17.75
hijgpfoi-1,Cluster 5,0,38.25
hihaojoh-1,Cluster 5,0,57.70
bakihlke-1,Cluster 6,0,46.29
hijgigdm-1,Cluster 10,0,53.78
hijgjigk-1,Cluster 11,0,59.88
hijgcabh-1,Cluster 5,0,78.48
hijchham-1,Cluster 22,0,52.71
hijbbmkg-1,Cluster 15,0,112.55
hijbecjm-1,Cluster 15,0,184.09
hijhjoae-1,Cluster 3,0,114.38
hijcamff-1,Cluster 4,0,17.79
hijbbifk-1,Cluster 1,0,101.53
hijimhnk-1,Cluster 15,0,43.86
hijigial-1,Cluster 6,0,30.41
hijgkepn-1,Cluster 15,0,33.09
bakmedmm-1,Cluster 20,0,74.54
hijgjoag-1,Cluster 15,0,78.59
hjipnehd-1,Cluster 12,0,20.74
hijgmkak-1,Cluster 15,0,133.39
bafcbafc-1,Cluster 5,0,46.32
hijifeoc-1,Cluster 5,0,45.24
bahbnpbp-1,Cluster 6,0,39.39
hjgjkiob-1,Cluster 12,0,21.93
goocggih-1,Cluster 6,0,39.44
goocidjh-1,Cluster 6,0,38.57
goohilod-1,Cluster 12,0,2.49
gonilocf-1,Cluster 11,0,25.17
baiabncp-1,Cluster 11,0,54.21
bahodgao-1,Cluster 6,0,47.00
gonijkmm-1,Cluster 11,0,57.05
gonmmdpn-1,Cluster 15,0,48.54
hjhlacon-1,Cluster 6,0,45.35
gonhlieb-1,Cluster 6,0,54.05
hjhmpecp-1,Cluster 7,0,50.39
gonnaohc-1,Cluster 7,0,11.57
gonhohek-1,Cluster 11,0,24.63
gonmdfle-1,Cluster 7,0,83.66
baiadnjp-1,Cluster 6,0,24.50
baicbikp-1,Cluster 6,0,40.88
bahohdpc-1,Cluster 6,0,34.17
gonhcbnc-1,Cluster 11,0,54.31
hjjlgnpn-1,Cluster 6,0,24.77
gonjadeb-1,Cluster 6,0,25.57
gonpgpha-1,Cluster 11,0,14.06
gooaagdl-1,Cluster 11,0,46.80
goocjnde-1,Cluster 6,0,46.92
gonphdch-1,Cluster 6,0,31.31
hjgimpma-1,Cluster 11,0,37.66
hjgjabhc-1,Cluster 12,0,10.30
hjgjcced-1,Cluster 5,0,14.96
gonjgcck-1,Cluster 6,0,14.32
gonhhgjd-1,Cluster 11,0,13.92
baibmglf-1,Cluster 6,0,41.38
gonjddme-1,Cluster 6,0,38.77
baicbjed-1,Cluster 6,0,24.08
bahnllak-1,Cluster 6,0,49.32
baigbbnf-1,Cluster 11,0,22.95
baigchjo-1,Cluster 11,0,43.65
baifnfjo-1,Cluster 6,0,54.07
hjkkdbdn-1,Cluster 16,0,5.24
baigcddg-1,Cluster 6,0,34.59
baigaaeo-1,Cluster 6,0,46.36
oeljahkg-1,Cluster 11,0,5.44
baikgbao-1,Cluster 6,0,34.91
hjjnmpah-1,Cluster 12,0,24.05
baikjoec-1,Cluster 6,0,33.57
baikonmd-1,Cluster 6,0,38.13
hjjnnecj-1,Cluster 6,0,38.01
baikaejg-1,Cluster 6,0,48.36
hjklagcd-1,Cluster 6,0,39.60
baigehnb-1,Cluster 6,0,38.46
baigomfp-1,Cluster 6,0,28.22
hjkibedm-1,Cluster 6,0,39.64
hjjijeih-1,Cluster 14,0,7.69
baihbaib-1,Cluster 6,0,50.14
hjkjpkjn-1,Cluster 6,0,27.16
hjkjjnoo-1,Cluster 6,0,23.63
hjjnljpi-1,Cluster 6,0,37.43
baikofpi-1,Cluster 6,0,30.06
baiahmna-1,Cluster 6,0,35.90
baicfokd-1,Cluster 6,0,45.04
hjjmbhhj-1,Cluster 12,0,11.25
hjjmgigl-1,Cluster 11,0,25.79
baiaejpa-1,Cluster 6,0,33.34
baibamij-1,Cluster 6,0,28.73
hjjknkck-1,Cluster 12,0,21.04
hjjldcda-1,Cluster 6,0,25.60
baianfbe-1,Cluster 6,0,49.20
hjjkonpk-1,Cluster 6,0,51.98
baiflbfg-1,Cluster 6,0,44.85
hjjlbhdo-1,Cluster 6,0,39.10
hjjmalda-1,Cluster 6,0,24.14
hjjlphec-1,Cluster 6,0,17.12
hjjlnhhi-1,Cluster 6,0,15.66
hjjlilmf-1,Cluster 6,0,14.84
hjgjdnmd-1,Cluster 6,0,59.03
baicbnod-1,Cluster 6,0,47.93
hjjldilg-1,Cluster 12,0,8.17
hjjlhigb-1,Cluster 11,0,21.32
baibelmd-1,Cluster 6,0,29.56
baheaeah-1,Cluster 6,0,27.91
hjjodloo-1,Cluster 6,0,24.51
bahebghb-1,Cluster 6,0,31.55
hjkilcbk-1,Cluster 6,0,23.23
hjjolndk-1,Cluster 6,0,27.58
hjjokncb-1,Cluster 6,0,34.04
hjkjchdl-1,Cluster 12,0,7.31
hjjpeala-1,Cluster 6,0,34.61
hjkiibdf-1,Cluster 12,0,8.65
baiajojh-1,Cluster 6,0,48.87
bahdhpfa-1,Cluster 6,0,41.44
bahdgcng-1,Cluster 6,0,22.14
hjjmgmlb-1,Cluster 12,0,11.48
baicbmni-1,Cluster 3,0,24.08
bahejbbf-1,Cluster 6,0,25.39
baheeohj-1,Cluster 6,0,35.48
hjjkmfhm-1,Cluster 12,0,27.43
hjjmgkio-1,Cluster 6,0,10.88
bahedpal-1,Cluster 11,0,62.88
hjgilenl-1,Cluster 6,0,31.49
hjflmplg-1,Cluster 11,0,94.83
hjflicjd-1,Cluster 12,0,41.20
bahohmfd-1,Cluster 6,0,45.80
bahojibd-1,Cluster 11,0,32.72
hjfijkea-1,Cluster 6,0,26.32
hjfijlmm-1,Cluster 12,0,10.68
ofbpppbj-1,Cluster 5,0,21.86
bahoiike-1,Cluster 6,0,33.58
hjfjdbkf-1,Cluster 6,0,27.27
hjfhmpeg-1,Cluster 7,0,137.64
hjhmoegk-1,Cluster 6,0,44.04
hjfjamme-1,Cluster 3,0,12.86
bahpempg-1,Cluster 6,0,41.49
hjfmhnfk-1,Cluster 6,0,47.96
hjfkfino-1,Cluster 10,0,14.02
hjfmeadc-1,Cluster 11,0,21.61
hjfhpebi-1,Cluster 6,0,33.32
hjfmddha-1,Cluster 6,0,30.23
