#Selection name: Selection 1
#Area (µm^2): 1591407.72
Cell ID,Cluster,Transcripts,Area (µm^2)
gbeoioge-1,Cluster 4,0,25.03
hbkfldjc-1,Cluster 2,0,39.64
hacleehg-1,Cluster 1,0,41.22
hacojmmj-1,Cluster 8,0,33.52
hacjodgp-1,Cluster 3,0,71.67
hacpmkbm-1,Cluster 3,0,35.12
gmkmhbhm-1,Cluster 3,0,54.60
gmfbpgcg-1,Cluster 3,0,46.16
gmklaeng-1,Cluster 2,0,81.08
gmeolhjl-1,Cluster 1,0,25.76
gmepkpkc-1,Cluster 11,0,61.28
gmkldloi-1,Cluster 9,0,35.64
gpkjlkjd-1,Cluster 13,0,24.17
gpkkbbfg-1,Cluster 8,0,31.72
hadgmdid-1,Cluster 6,0,34.12
gpkhopfn-1,Cluster 1,0,28.42
hadflncp-1,Cluster 9,0,74.45
gmkicbjj-1,Cluster 3,0,34.62
gmkiblgm-1,Cluster 3,0,18.64
gpkhijlc-1,Cluster 28,0,25.32
hadgflle-1,Cluster 4,0,27.19
hadfigje-1,Cluster 22,0,57.98
hadggjne-1,Cluster 24,0,62.62
hadibild-1,Cluster 8,0,32.35
gmelknjf-1,Cluster 3,0,26.70
bdckmglk-1,Cluster 7,0,56.26
gmckklon-1,Cluster 4,0,51.87
gmeplaep-1,Cluster 3,0,61.92
gmemhlfd-1,Cluster 1,0,38.88
gpkgfcbk-1,Cluster 3,0,72.50
gmenelff-1,Cluster 3,0,26.73
gmenlbif-1,Cluster 15,0,37.37
gpkfppmh-1,Cluster 3,0,30.37
gpkmcifn-1,Cluster 3,0,50.49
gpkgkomb-1,Cluster 1,0,30.83
gpkflifk-1,Cluster 3,0,19.55
gmkijmhi-1,Cluster 3,0,11.18
gmkljmdk-1,Cluster 1,0,62.45
gpkmboep-1,Cluster 1,0,31.15
gmbnjljc-1,Cluster 3,0,30.06
glohmefk-1,Cluster 8,0,76.55
glojlhkm-1,Cluster 1,0,69.41
oeekldan-1,Cluster 7,0,108.13
gmekkmeh-1,Cluster 1,0,23.26
gmegjpdd-1,Cluster 1,0,24.89
gmehieni-1,Cluster 4,0,6.17
gmegoemg-1,Cluster 9,0,24.36
gmeleifg-1,Cluster 3,0,37.35
gmegmdla-1,Cluster 13,0,7.88
gmekoinm-1,Cluster 3,0,27.49
hbgjbbgj-1,Cluster 3,0,44.41
glpkmebh-1,Cluster 8,0,64.75
gloikepm-1,Cluster 2,0,43.58
gmcbhlnl-1,Cluster 3,0,20.58
gloieacg-1,Cluster 3,0,38.87
gmbogaic-1,Cluster 3,0,27.91
gmcanjdm-1,Cluster 8,0,30.82
gmcbcpma-1,Cluster 3,0,23.94
gmcelifl-1,Cluster 8,0,80.61
globhbkn-1,Cluster 6,0,22.60
gmcklhpo-1,Cluster 8,0,53.83
gloeloam-1,Cluster 3,0,68.21
gmbnphbh-1,Cluster 31,0,142.24
globcbci-1,Cluster 2,0,41.40
glogcieg-1,Cluster 21,0,43.68
glofhcni-1,Cluster 3,0,78.29
gmbnelae-1,Cluster 17,0,139.93
gloajbjp-1,Cluster 2,0,24.44
gloohbdj-1,Cluster 2,0,33.36
globehcj-1,Cluster 1,0,30.72
gmcbbdfc-1,Cluster 16,0,80.94
glofgaop-1,Cluster 2,0,53.00
gmbnnjjl-1,Cluster 3,0,21.01
gmcdpmpj-1,Cluster 3,0,64.99
hbkfplci-1,Cluster 8,0,34.55
hbgifkgc-1,Cluster 3,0,48.95
hbgipnfa-1,Cluster 3,0,46.74
glplleej-1,Cluster 3,0,35.00
hbghegkl-1,Cluster 8,0,27.31
glpbffpm-1,Cluster 6,0,50.68
glpbpghb-1,Cluster 8,0,29.69
gmbjkolh-1,Cluster 1,0,38.08
gmbkdobl-1,Cluster 8,0,23.15
gmbhfcjf-1,Cluster 3,0,53.79
gmbfliii-1,Cluster 3,0,24.16
gmbhlpia-1,Cluster 3,0,24.51
hbghphfn-1,Cluster 2,0,39.18
hbgiapgn-1,Cluster 1,0,40.95
glpbepdg-1,Cluster 11,0,60.62
hbocoplo-1,Cluster 28,0,42.78
hboamgpm-1,Cluster 3,0,10.79
hbobnjoj-1,Cluster 8,0,34.47
hbmpfpkj-1,Cluster 3,0,33.92
hbmpbihj-1,Cluster 11,0,37.65
hbmnnphn-1,Cluster 1,0,28.78
hbmockal-1,Cluster 1,0,15.43
hbmpcnoa-1,Cluster 9,0,7.69
hbmppfcb-1,Cluster 11,0,50.42
hbmjjdgc-1,Cluster 3,0,13.84
hbmjoejl-1,Cluster 8,0,39.67
hbkebbjk-1,Cluster 3,0,52.86
hboalnna-1,Cluster 1,0,26.41
hbofccdk-1,Cluster 1,0,20.35
hbogijph-1,Cluster 3,0,33.20
hboclfje-1,Cluster 8,0,27.96
hbognfig-1,Cluster 3,0,24.95
hbogfcio-1,Cluster 16,0,20.40
hbnnmanb-1,Cluster 16,0,45.26
hbohnbkp-1,Cluster 3,0,16.37
hbmjccdf-1,Cluster 2,0,76.42
hbnpbhcp-1,Cluster 3,0,34.61
hbnniodn-1,Cluster 8,0,36.46
hbnoidad-1,Cluster 3,0,25.27
hbdjnknh-1,Cluster 9,0,45.41
hbdmockg-1,Cluster 8,0,42.20
hbkgmoij-1,Cluster 3,0,19.73
hbdlijjg-1,Cluster 9,0,26.68
hbmkabfj-1,Cluster 26,0,35.16
hbndpeen-1,Cluster 1,0,32.96
hbnfgfcb-1,Cluster 8,0,42.63
hbngajgd-1,Cluster 3,0,19.38
hbbihbfp-1,Cluster 8,0,26.67
hbbidhlf-1,Cluster 11,0,24.61
hbbhclid-1,Cluster 3,0,28.03
hbndlfif-1,Cluster 3,0,58.34
hbnbgfco-1,Cluster 3,0,84.46
hbojohpc-1,Cluster 3,0,36.89
hboedpka-1,Cluster 28,0,16.62
bdldnnoj-1,Cluster 6,0,49.87
hbncincf-1,Cluster 3,0,53.49
hbojkljp-1,Cluster 17,0,81.42
hboebjai-1,Cluster 3,0,23.60
hbohmcak-1,Cluster 26,0,29.35
hbbljkol-1,Cluster 3,0,19.91
hbbmlpln-1,Cluster 3,0,24.61
hbbmclle-1,Cluster 8,0,22.33
hbbmbefp-1,Cluster 3,0,29.37
hbbhccha-1,Cluster 1,0,15.64
bdhdffnd-1,Cluster 5,0,27.77
hbflkmhn-1,Cluster 31,0,39.85
gppioaej-1,Cluster 11,0,36.08
gplhamka-1,Cluster 3,0,16.69
haecojfb-1,Cluster 3,0,30.08
hadmcgbg-1,Cluster 3,0,42.42
hadkohan-1,Cluster 2,0,21.55
hadjbfln-1,Cluster 3,0,25.09
hadljfji-1,Cluster 16,0,49.31
hadpgngm-1,Cluster 1,0,27.51
hadlefhi-1,Cluster 3,0,32.46
hadpiimm-1,Cluster 3,0,47.90
hadpkdgh-1,Cluster 3,0,36.44
gpjoddim-1,Cluster 8,0,41.04
gpkclohp-1,Cluster 3,0,52.35
gpkldope-1,Cluster 11,0,31.27
gpjonlmd-1,Cluster 1,0,27.92
hadeacea-1,Cluster 16,0,45.96
hadgnpma-1,Cluster 3,0,15.55
gpkdcoik-1,Cluster 1,0,44.11
gpkkckob-1,Cluster 3,0,44.11
bdcjinpo-1,Cluster 11,0,48.10
hadeodbi-1,Cluster 24,0,63.82
hadcmbop-1,Cluster 22,0,53.30
hadnecll-1,Cluster 4,0,34.84
hadpeiig-1,Cluster 1,0,43.20
hadokojm-1,Cluster 9,0,23.73
hadjbipe-1,Cluster 1,0,29.78
haefmfni-1,Cluster 1,0,33.04
haefbiia-1,Cluster 4,0,23.03
haecpmka-1,Cluster 16,0,81.32
hadjcjcc-1,Cluster 3,0,53.26
haecocib-1,Cluster 1,0,12.96
hadiehhe-1,Cluster 3,0,26.98
haeakhfp-1,Cluster 3,0,24.07
hajdcple-1,Cluster 2,0,36.51
hajdciji-1,Cluster 3,0,46.61
haimkcod-1,Cluster 3,0,43.62
hajdlmob-1,Cluster 1,0,7.33
hachnlfn-1,Cluster 3,0,31.14
hacholdf-1,Cluster 6,0,24.64
gpjoccmp-1,Cluster 3,0,40.33
gpjopdid-1,Cluster 16,0,32.92
hachmojb-1,Cluster 3,0,18.94
gplhlggp-1,Cluster 7,0,35.26
gplfkmmn-1,Cluster 3,0,56.20
gpjoggko-1,Cluster 3,0,33.80
gpkbabih-1,Cluster 3,0,21.24
bdclpnmc-1,Cluster 6,0,45.26
gpkcigim-1,Cluster 4,0,60.61
gpkbkhjh-1,Cluster 8,0,61.95
hacieogn-1,Cluster 3,0,40.63
hacjijif-1,Cluster 1,0,21.36
hacnedlh-1,Cluster 1,0,42.01
hagilllg-1,Cluster 3,0,17.87
haebhfem-1,Cluster 6,0,19.71
haeddooc-1,Cluster 3,0,22.81
haecobed-1,Cluster 3,0,41.40
haebhebm-1,Cluster 3,0,41.63
haeeinki-1,Cluster 3,0,37.93
haegfbhk-1,Cluster 3,0,30.12
haegcmmc-1,Cluster 3,0,30.52
oehagcbp-1,Cluster 3,0,116.87
haiomcia-1,Cluster 3,0,40.46
haghihlk-1,Cluster 11,0,46.45
hagianbb-1,Cluster 1,0,53.75
haghabaf-1,Cluster 3,0,22.62
hagjdgek-1,Cluster 3,0,29.12
gpliomkd-1,Cluster 23,0,70.20
gpkdjonh-1,Cluster 3,0,18.61
gpkdmlkj-1,Cluster 3,0,17.57
gpjpgdgn-1,Cluster 2,0,49.06
gpkebjif-1,Cluster 7,0,23.51
hacoaijm-1,Cluster 3,0,107.80
gpkbiabp-1,Cluster 3,0,25.20
gplldkhn-1,Cluster 8,0,41.66
hacodiih-1,Cluster 3,0,37.02
hacngkpc-1,Cluster 1,0,19.80
hacnpkkk-1,Cluster 3,0,64.00
hacgkblk-1,Cluster 3,0,29.03
hachbngc-1,Cluster 3,0,19.38
hacgimbm-1,Cluster 3,0,27.31
hacjklmk-1,Cluster 3,0,22.20
hagnccfh-1,Cluster 3,0,33.45
hagmlfgm-1,Cluster 3,0,24.86
hagkiiab-1,Cluster 1,0,32.31
hagchdbm-1,Cluster 3,0,43.87
hagkdcde-1,Cluster 16,0,25.61
haggabik-1,Cluster 3,0,25.41
hagepcdm-1,Cluster 3,0,61.59
hagjfidf-1,Cluster 3,0,37.85
hagepmib-1,Cluster 3,0,84.29
haggokmm-1,Cluster 3,0,32.02
hagfippp-1,Cluster 1,0,21.26
haegfdpd-1,Cluster 16,0,45.26
hagjilde-1,Cluster 3,0,17.99
haegkjop-1,Cluster 1,0,22.96
haeapkac-1,Cluster 3,0,35.57
gpkofehd-1,Cluster 3,0,31.01
haecknac-1,Cluster 3,0,63.61
gpllpdkh-1,Cluster 23,0,52.86
gplkhiob-1,Cluster 2,0,32.28
gpkojkeg-1,Cluster 3,0,23.80
gpkonkmo-1,Cluster 3,0,24.03
gpkpnhch-1,Cluster 15,0,26.51
gplahdfb-1,Cluster 11,0,68.07
gpkockll-1,Cluster 4,0,14.56
hagmhmbb-1,Cluster 3,0,44.62
gpllmled-1,Cluster 8,0,41.18
gpkpenof-1,Cluster 1,0,35.77
hagmofkk-1,Cluster 3,0,27.67
hagncpji-1,Cluster 3,0,47.70
gppjpjan-1,Cluster 16,0,31.41
glnmncfa-1,Cluster 9,0,13.97
gmcnkbfl-1,Cluster 1,0,30.82
gmclnnbm-1,Cluster 3,0,19.81
gmcibmgp-1,Cluster 3,0,52.50
gmcndeck-1,Cluster 21,0,45.15
gmcnmock-1,Cluster 4,0,28.83
gmckljhc-1,Cluster 3,0,34.17
gmcnnjll-1,Cluster 16,0,78.00
gmcncfik-1,Cluster 13,0,7.78
gmcnjdbl-1,Cluster 8,0,17.03
gpjmgiad-1,Cluster 2,0,26.64
gpjlfelc-1,Cluster 8,0,25.28
gpknjmgn-1,Cluster 3,0,37.82
gpjmlcee-1,Cluster 2,0,46.63
gpjnpdjf-1,Cluster 7,0,17.52
gpjlhapi-1,Cluster 3,0,62.48
gpjmechb-1,Cluster 8,0,30.03
gpjlcmnl-1,Cluster 3,0,46.49
gpkfjfjd-1,Cluster 3,0,42.39
glohklnd-1,Cluster 2,0,40.82
glohgcja-1,Cluster 3,0,50.20
glonkchi-1,Cluster 3,0,73.97
glopbpaf-1,Cluster 3,0,25.47
glpadmek-1,Cluster 3,0,58.34
glpabfkm-1,Cluster 8,0,19.72
oeekompg-1,Cluster 3,0,116.04
glpbajae-1,Cluster 2,0,18.93
glpagfjl-1,Cluster 1,0,29.32
glpaadfo-1,Cluster 3,0,46.76
gmdaamjp-1,Cluster 2,0,9.60
oeelpooj-1,Cluster 7,0,104.70
gmcogmgp-1,Cluster 2,0,41.65
gmcjjphc-1,Cluster 8,0,22.01
gmcpgpbp-1,Cluster 3,0,39.66
gpmjenfg-1,Cluster 11,0,20.90
gpmkbpdp-1,Cluster 2,0,42.58
gmcgkghn-1,Cluster 8,0,55.70
gplnoibd-1,Cluster 3,0,66.27
gpjklcip-1,Cluster 3,0,100.22
gmcfkmop-1,Cluster 11,0,17.92
gplnnoaj-1,Cluster 4,0,57.87
gpmikkdf-1,Cluster 2,0,21.32
gpliialb-1,Cluster 1,0,11.53
gplmmohb-1,Cluster 8,0,60.26
gmchhokm-1,Cluster 11,0,31.05
gplgejge-1,Cluster 2,0,47.45
gpmjckdk-1,Cluster 9,0,25.64
gplnfkbh-1,Cluster 4,0,47.04
gplhfaig-1,Cluster 15,0,81.96
gplghdal-1,Cluster 3,0,78.49
glogjcon-1,Cluster 7,0,112.78
glnlogol-1,Cluster 11,0,35.25
glondmek-1,Cluster 8,0,72.03
glonpggg-1,Cluster 16,0,78.55
glonbkcl-1,Cluster 4,0,21.85
gloongbl-1,Cluster 13,0,13.28
gppkapam-1,Cluster 8,0,33.82
gpomhjpd-1,Cluster 8,0,24.75
oehackmf-1,Cluster 13,0,120.54
gppkjjia-1,Cluster 9,0,20.79
glooihhi-1,Cluster 2,0,49.91
gpmjkdkj-1,Cluster 1,0,13.87
gloojcjo-1,Cluster 8,0,16.02
gmcgcblf-1,Cluster 8,0,18.25
gpmkhifa-1,Cluster 8,0,28.62
gpomgdjp-1,Cluster 8,0,47.66
gmblchoi-1,Cluster 8,0,63.55
gpolckmi-1,Cluster 4,0,60.80
gpolebho-1,Cluster 3,0,34.80
gmcenfdk-1,Cluster 3,0,34.69
gpolfdjc-1,Cluster 4,0,34.35
gmcfgbka-1,Cluster 3,0,117.55
gmccdfcl-1,Cluster 23,0,40.65
gpollcfk-1,Cluster 8,0,34.85
gmcbhnmi-1,Cluster 3,0,35.37
gpolpbfk-1,Cluster 1,0,16.97
gmcclapk-1,Cluster 2,0,47.79
gmccfkfn-1,Cluster 9,0,48.07
glomjojj-1,Cluster 3,0,44.74
gmcenolf-1,Cluster 3,0,38.56
gmceklpc-1,Cluster 3,0,37.70
gmcdakpb-1,Cluster 3,0,29.87
gmcconlf-1,Cluster 4,0,29.15
gmbekbpb-1,Cluster 3,0,16.47
gmbnadda-1,Cluster 8,0,18.42
gmblephd-1,Cluster 1,0,13.61
gmbliffb-1,Cluster 3,0,21.13
gmbebcdm-1,Cluster 2,0,58.19
gmbmnakk-1,Cluster 1,0,24.29
gmbemfga-1,Cluster 6,0,15.01
gmbekfba-1,Cluster 7,0,11.04
gmbmffgb-1,Cluster 8,0,50.68
hbfiemam-1,Cluster 8,0,43.55
gmbkmdkl-1,Cluster 3,0,85.09
gmbllhah-1,Cluster 7,0,40.48
gmbljepe-1,Cluster 8,0,30.10
gmbmaaoa-1,Cluster 8,0,20.41
gmbfbhnm-1,Cluster 3,0,41.60
gpokejbn-1,Cluster 6,0,42.21
gpokgopf-1,Cluster 6,0,34.14
gpolpdab-1,Cluster 7,0,53.56
gponodei-1,Cluster 6,0,26.05
bddebmfp-1,Cluster 9,0,44.96
gpojdikc-1,Cluster 7,0,43.32
glnnfiib-1,Cluster 11,0,23.66
gponedgo-1,Cluster 4,0,37.89
glnmjnga-1,Cluster 8,0,24.94
gpokbpgn-1,Cluster 1,0,21.22
glolkgpj-1,Cluster 8,0,63.91
glnolfgh-1,Cluster 26,0,37.29
glnpbbjm-1,Cluster 9,0,12.64
gpomnehf-1,Cluster 13,0,22.72
gpomgkhn-1,Cluster 2,0,25.76
glnplhlc-1,Cluster 2,0,43.13
gpoofeik-1,Cluster 11,0,66.61
gppadbib-1,Cluster 8,0,60.06
gpoohndk-1,Cluster 5,0,29.37
hbfhijhh-1,Cluster 8,0,44.02
gppabdid-1,Cluster 2,0,46.20
gppagjii-1,Cluster 9,0,48.07
gpopllbm-1,Cluster 5,0,67.69
bddbcfpb-1,Cluster 9,0,41.58
gpopcgjp-1,Cluster 1,0,16.54
gpoondnf-1,Cluster 8,0,13.43
gppcfnlg-1,Cluster 5,0,226.66
gppdkhcp-1,Cluster 9,0,113.65
gpolmeip-1,Cluster 8,0,23.39
gponfmpc-1,Cluster 6,0,41.37
gpooebhj-1,Cluster 8,0,16.25
gppohghk-1,Cluster 10,0,60.93
haaaahpa-1,Cluster 5,0,20.11
gpplhnpc-1,Cluster 5,0,49.87
bdbflljb-1,Cluster 10,0,77.97
gpplamea-1,Cluster 4,0,64.97
gppndfpk-1,Cluster 9,0,32.16
gpmlcdgn-1,Cluster 3,0,20.02
gpmmkjek-1,Cluster 9,0,29.07
gplohhfb-1,Cluster 7,0,129.01
gpmlbabm-1,Cluster 6,0,33.62
gpmlpdjn-1,Cluster 1,0,24.00
gplofgdo-1,Cluster 1,0,11.37
gplofdoh-1,Cluster 3,0,51.19
gpmldnnd-1,Cluster 16,0,44.47
oegphpnl-1,Cluster 6,0,19.65
gppmapbh-1,Cluster 9,0,12.38
gplilemg-1,Cluster 3,0,22.08
gppkeich-1,Cluster 7,0,34.19
gplechjo-1,Cluster 3,0,53.22
gppodpec-1,Cluster 13,0,17.62
gppmlkgk-1,Cluster 10,0,89.60
gpppfilk-1,Cluster 9,0,39.47
gppnpefj-1,Cluster 10,0,48.96
gppnfcaj-1,Cluster 10,0,32.78
gpppfbmp-1,Cluster 11,0,106.66
bdaodmle-1,Cluster 25,0,76.95
gppnjknl-1,Cluster 10,0,95.21
haabaghh-1,Cluster 11,0,38.94
bdaofpgp-1,Cluster 5,0,40.88
bdaoncdh-1,Cluster 5,0,22.44
gppkndhb-1,Cluster 10,0,19.41
bdbfkfbk-1,Cluster 10,0,51.92
hcagljbc-1,Cluster 17,0,84.60
bdbfkdko-1,Cluster 10,0,85.15
gplopcgd-1,Cluster 9,0,60.74
gplphodd-1,Cluster 9,0,42.06
gpmafink-1,Cluster 2,0,53.03
gpldkkea-1,Cluster 11,0,30.01
gpmfcpkg-1,Cluster 9,0,13.60
gpmhcgca-1,Cluster 9,0,22.69
gpmbjpbj-1,Cluster 2,0,14.02
gplcncpn-1,Cluster 9,0,7.45
gpmcgipg-1,Cluster 1,0,22.10
gplfagho-1,Cluster 8,0,33.88
gplfadik-1,Cluster 1,0,22.76
gplohjdn-1,Cluster 3,0,55.46
gplodehn-1,Cluster 8,0,40.83
gpmeebme-1,Cluster 8,0,29.35
gpmdogmk-1,Cluster 8,0,14.36
gpmbmbgj-1,Cluster 1,0,27.99
bdapblfl-1,Cluster 25,0,127.62
bdaoojph-1,Cluster 25,0,76.63
gpmhnccn-1,Cluster 5,0,67.79
gppopiop-1,Cluster 25,0,54.77
gpmibkeg-1,Cluster 5,0,123.01
gppinaoe-1,Cluster 24,0,22.60
gpmhabmn-1,Cluster 25,0,75.45
gpofjjkk-1,Cluster 25,0,195.47
bdbahkij-1,Cluster 25,0,34.53
gplccedb-1,Cluster 5,0,35.01
gppjhelo-1,Cluster 5,0,80.40
bdbainlp-1,Cluster 25,0,43.18
gppjpban-1,Cluster 17,0,58.61
gplclhek-1,Cluster 11,0,29.78
gpmhblge-1,Cluster 9,0,36.60
bdcnnpko-1,Cluster 25,0,69.04
gpojckaj-1,Cluster 25,0,171.81
bddbmlef-1,Cluster 5,0,26.64
bdcnnjpk-1,Cluster 25,0,97.44
gpoggeab-1,Cluster 5,0,26.18
gpoidnfo-1,Cluster 9,0,137.66
bddedmka-1,Cluster 5,0,13.69
bdcnekpp-1,Cluster 5,0,91.66
bdcmnfae-1,Cluster 25,0,70.14
bdcnhapd-1,Cluster 5,0,39.53
bdddgigl-1,Cluster 5,0,66.87
bdddejgj-1,Cluster 5,0,18.58
gppobpmh-1,Cluster 5,0,81.70
bdcopcgh-1,Cluster 25,0,115.12
gppohaaj-1,Cluster 5,0,112.57
oehadgoc-1,Cluster 33,0,79.31
bdcjkceh-1,Cluster 10,0,62.62
gppalejj-1,Cluster 25,0,81.84
gppidkpn-1,Cluster 9,0,44.12
gpphjndk-1,Cluster 25,0,60.80
gppceghg-1,Cluster 5,0,128.32
gppeddnj-1,Cluster 5,0,26.48
gppgpdbl-1,Cluster 9,0,34.97
gppenphg-1,Cluster 2,0,37.63
gppebcge-1,Cluster 4,0,57.92
gpphdggl-1,Cluster 2,0,56.78
bddbemem-1,Cluster 9,0,52.49
gppbdenj-1,Cluster 5,0,74.20
bddbccbg-1,Cluster 5,0,23.98
gppedbne-1,Cluster 11,0,90.22
bdddbpgo-1,Cluster 5,0,65.01
bdddapdj-1,Cluster 5,0,57.29
bdcfnicp-1,Cluster 5,0,28.40
gpnnankp-1,Cluster 25,0,48.57
bddagbjc-1,Cluster 25,0,86.19
bddgpjmo-1,Cluster 5,0,52.25
bdedhlde-1,Cluster 5,0,74.28
bddddmbk-1,Cluster 5,0,87.59
bdeedmki-1,Cluster 5,0,67.30
bdeeeoka-1,Cluster 5,0,67.91
bdcnnkkm-1,Cluster 25,0,144.94
bddpmfef-1,Cluster 25,0,83.18
bddpnhep-1,Cluster 25,0,100.14
gppojpmd-1,Cluster 25,0,195.02
bddmnokh-1,Cluster 25,0,102.10
bdcjbopk-1,Cluster 5,0,37.85
bddaenno-1,Cluster 25,0,99.11
bdcjajkj-1,Cluster 5,0,73.74
bddfmhpm-1,Cluster 5,0,53.40
gpnpkimk-1,Cluster 25,0,61.70
bddgmgnc-1,Cluster 5,0,30.12
gpnpoecp-1,Cluster 25,0,133.12
bddgljon-1,Cluster 25,0,51.33
bddfhhgk-1,Cluster 25,0,29.70
gpnmajjg-1,Cluster 5,0,100.86
bddaoknj-1,Cluster 25,0,126.16
gpnplnaa-1,Cluster 5,0,68.06
gpnokode-1,Cluster 4,0,42.47
gpnoogkk-1,Cluster 11,0,25.57
bddingcm-1,Cluster 5,0,41.78
bddieedf-1,Cluster 5,0,79.41
bddhpadi-1,Cluster 25,0,141.77
bddaiofe-1,Cluster 5,0,51.86
gpmbdlme-1,Cluster 2,0,32.08
haagaflf-1,Cluster 3,0,28.13
habfdjne-1,Cluster 3,0,28.61
habiggpc-1,Cluster 3,0,58.31
hagjjiho-1,Cluster 3,0,30.05
habfippg-1,Cluster 3,0,25.83
habgbolb-1,Cluster 1,0,20.98
habiknac-1,Cluster 3,0,24.61
habjoomp-1,Cluster 28,0,25.54
habkhnof-1,Cluster 3,0,11.55
habjlmdf-1,Cluster 28,0,20.97
habdheao-1,Cluster 13,0,11.58
haainhea-1,Cluster 3,0,27.12
habenmhf-1,Cluster 2,0,45.90
folipdap-1,Cluster 3,0,18.00
fpfgopdf-1,Cluster 3,0,8.11
haahmaim-1,Cluster 9,0,13.34
folhojjd-1,Cluster 3,0,28.21
haabdcoh-1,Cluster 3,0,29.02
fpfbmnkc-1,Cluster 3,0,10.56
haaedjib-1,Cluster 1,0,26.63
folhoajh-1,Cluster 3,0,27.91
folmdbmn-1,Cluster 1,0,22.51
bdemabdc-1,Cluster 8,0,137.03
gpnfafeg-1,Cluster 21,0,63.08
gpndnnnp-1,Cluster 3,0,25.22
gpnejdop-1,Cluster 1,0,19.07
gpndhnki-1,Cluster 1,0,16.27
gpndnjoj-1,Cluster 2,0,19.27
gpnbpjca-1,Cluster 3,0,11.91
gpndfpkd-1,Cluster 3,0,28.96
gpndeoni-1,Cluster 1,0,14.09
haaomoed-1,Cluster 3,0,43.50
haanhagk-1,Cluster 1,0,34.62
haanhhkj-1,Cluster 3,0,18.73
haaodele-1,Cluster 8,0,30.59
haaooihb-1,Cluster 28,0,46.88
gpncjhme-1,Cluster 3,0,64.18
haahfank-1,Cluster 3,0,41.72
habkpakf-1,Cluster 3,0,29.67
habjmlej-1,Cluster 3,0,27.39
gpnhidho-1,Cluster 3,0,29.78
gpnigjdg-1,Cluster 1,0,29.03
gpknlnig-1,Cluster 3,0,30.11
oegpcmnk-1,Cluster 21,0,39.24
gpkobjdh-1,Cluster 3,0,16.23
gpnamjbo-1,Cluster 13,0,9.45
gpnanhpm-1,Cluster 3,0,18.86
gpnboknd-1,Cluster 7,0,19.19
bdelkcmn-1,Cluster 6,0,51.45
gplanamj-1,Cluster 17,0,93.52
gplabcmi-1,Cluster 8,0,23.72
gpkonahg-1,Cluster 3,0,27.67
gpkplaii-1,Cluster 21,0,24.36
gpnehccn-1,Cluster 1,0,27.51
gpngajoh-1,Cluster 3,0,23.96
haampddb-1,Cluster 1,0,28.40
foejlaoo-1,Cluster 9,0,41.27
focnefmo-1,Cluster 3,0,36.19
foeioejd-1,Cluster 3,0,32.78
haaljhok-1,Cluster 3,0,19.20
foeincic-1,Cluster 3,0,70.68
foegkakj-1,Cluster 3,0,29.99
eokamjmm-1,Cluster 3,0,48.29
