#Selection name: Selection 1
#Area (µm^2): 2319865.78
Cell ID,Cluster,Transcripts,Area (µm^2)
lnchodmn-1,Cluster 12,0,37.37
nikeeief-1,Cluster 12,0,22.60
iehgjdnp-1,Cluster 16,0,116.90
loebhdpm-1,Cluster 12,0,13.99
nikdjfme-1,Unassigned,0,179.12
iehgpaml-1,Cluster 12,0,52.77
iehgdldj-1,Unassigned,0,34.37
iehfpnpb-1,Cluster 12,0,87.26
nikdpjfo-1,Cluster 12,0,23.58
nikeddej-1,Unassigned,0,22.75
dcknhnlm-1,Unassigned,0,49.17
ieglipnd-1,Cluster 12,0,25.22
dcknhdmj-1,Cluster 12,0,67.49
ieglagon-1,Cluster 12,0,28.91
iehgnkao-1,Cluster 5,0,38.00
nikclhcg-1,Cluster 12,0,29.65
dcknkaoe-1,Cluster 13,0,79.16
dcknjbkf-1,Cluster 12,0,59.99
iehfkbac-1,Cluster 12,0,41.78
dckojdkl-1,Cluster 5,0,49.83
ieheeelj-1,Unassigned,0,83.41
iehddkgl-1,Unassigned,0,40.61
nikdhgjm-1,Unassigned,0,18.04
iehcpafh-1,Unassigned,0,81.00
iehcpmpg-1,Unassigned,0,129.26
iehclmdk-1,Unassigned,0,92.86
iehdjfla-1,Unassigned,0,91.72
loecelij-1,Unassigned,0,25.99
loebcoaf-1,Cluster 5,0,34.91
iehcmllp-1,Unassigned,0,235.64
loedckhe-1,Cluster 12,0,20.41
iehdmpfh-1,Unassigned,0,120.78
iehdfkhn-1,Cluster 12,0,42.87
iehdpbgp-1,Cluster 12,0,78.63
iehdgomo-1,Unassigned,0,12.53
iehbjojc-1,Cluster 12,0,106.56
iehdebhd-1,Unassigned,0,225.35
ieheiojb-1,Unassigned,0,122.94
iehdchef-1,Unassigned,0,70.40
ieheaolm-1,Unassigned,0,104.25
iehcekdm-1,Unassigned,0,99.76
iehhhlkj-1,Unassigned,0,67.31
iehgpoje-1,Cluster 12,0,178.99
iehfdkhb-1,Cluster 12,0,93.01
iehekplb-1,Cluster 12,0,50.93
iehbnmbe-1,Cluster 12,0,126.00
iehfapig-1,Cluster 12,0,53.04
iehboobg-1,Cluster 12,0,116.66
iehfbmgj-1,Cluster 12,0,69.78
iehemfnj-1,Cluster 12,0,24.75
iehhpldl-1,Cluster 12,0,66.09
iehhpkpl-1,Cluster 12,0,109.26
iehhiepf-1,Unassigned,0,25.90
iehhkaak-1,Cluster 12,0,96.65
iehgpiap-1,Cluster 12,0,142.37
iehhphmk-1,Unassigned,0,48.26
iehhhcpl-1,Unassigned,0,61.71
iehcfigh-1,Unassigned,0,99.43
iehhgfha-1,Cluster 12,0,80.46
ieglblib-1,Cluster 12,0,31.67
dcknoieh-1,Cluster 13,0,128.64
dckpfdag-1,Cluster 13,0,165.07
dckpdlen-1,Cluster 13,0,42.12
dckoaeed-1,Cluster 13,0,160.96
dckokndj-1,Cluster 13,0,31.73
dckpckhp-1,Cluster 13,0,53.38
iehikamk-1,Cluster 12,0,86.42
nikclcpj-1,Cluster 12,0,23.14
iehodiia-1,Cluster 12,0,99.43
nikdaenk-1,Unassigned,0,41.82
loedfmjg-1,Cluster 4,0,17.66
iegolapl-1,Unassigned,0,116.01
iegoallm-1,Unassigned,0,46.18
nikcpjam-1,Unassigned,0,14.25
iegoemie-1,Unassigned,0,53.81
iegommia-1,Unassigned,0,147.11
iegnnabh-1,Unassigned,0,61.94
loebcpio-1,Cluster 5,0,7.90
iegnolgk-1,Unassigned,0,22.28
nikcopdc-1,Unassigned,0,219.77
iehebflg-1,Unassigned,0,49.98
iehmdbbk-1,Cluster 14,0,89.06
iegplheg-1,Unassigned,0,61.41
dhbhlafm-1,Cluster 12,0,48.28
iegoncpo-1,Unassigned,0,133.14
ohphmjfe-1,Cluster 12,0,129.65
iehlomic-1,Cluster 18,0,132.50
nikfhamm-1,Unassigned,0,181.83
iehlllaf-1,Cluster 18,0,209.19
nikcpado-1,Unassigned,0,119.95
iegoomge-1,Cluster 12,0,43.22
iehanddp-1,Cluster 12,0,40.57
iehhkdda-1,Cluster 12,0,41.12
iegpcnmp-1,Cluster 12,0,59.47
iegpafbg-1,Cluster 12,0,50.23
iegpiphe-1,Cluster 12,0,51.99
iegppkio-1,Cluster 12,0,87.60
iegkjlmn-1,Cluster 12,0,88.70
ieglgfib-1,Cluster 12,0,75.73
iegkpclo-1,Cluster 12,0,51.36
iegjemda-1,Cluster 12,0,47.92
iegniaid-1,Cluster 12,0,48.12
iehodhgk-1,Unassigned,0,47.04
iegkbkcn-1,Cluster 12,0,22.55
iegjoomc-1,Cluster 12,0,14.81
iegpppgm-1,Unassigned,0,67.81
iegjiaoa-1,Cluster 12,0,27.76
iegjjmng-1,Cluster 12,0,44.01
iegpknfc-1,Unassigned,0,62.57
iehoheai-1,Unassigned,0,163.60
nikfcdjh-1,Cluster 4,0,41.67
iehlbmoh-1,Cluster 14,0,92.20
iehmobgb-1,Cluster 4,0,36.27
nikfdpfg-1,Cluster 14,0,114.89
nikehgdo-1,Cluster 18,0,196.65
iehnopbn-1,Unassigned,0,29.03
iehmakdo-1,Cluster 14,0,159.53
iehmlnni-1,Cluster 18,0,144.20
iehohaka-1,Cluster 12,0,71.76
iehlpefk-1,Cluster 14,0,138.96
iehphjif-1,Cluster 14,0,96.07
iehpkbno-1,Cluster 14,0,144.58
iehmlgok-1,Cluster 4,0,44.45
nikgfnkc-1,Cluster 12,0,101.27
nikggehi-1,Cluster 12,0,57.33
iehkfbje-1,Cluster 19,0,61.45
dhbhlpme-1,Cluster 14,0,220.85
iehkiphf-1,Cluster 14,0,83.73
iehnbfli-1,Cluster 5,0,22.16
iehijmln-1,Cluster 12,0,33.05
iehnmdha-1,Cluster 5,0,67.76
nikfebag-1,Unassigned,0,32.03
iehnnhah-1,Unassigned,0,63.32
iehnifca-1,Cluster 12,0,51.29
iehndmdg-1,Cluster 12,0,93.06
iegnablb-1,Cluster 12,0,28.05
iehodaac-1,Unassigned,0,24.01
iegnjdhl-1,Cluster 12,0,26.24
iegncfcc-1,Unassigned,0,118.33
nikghaij-1,Cluster 12,0,29.96
iehipofh-1,Cluster 12,0,47.73
nikfhomn-1,Unassigned,0,26.21
iehojkfp-1,Unassigned,0,39.83
iehilmfi-1,Unassigned,0,8.76
ieifemji-1,Cluster 12,0,57.29
iehpepgg-1,Unassigned,0,16.57
iehojgej-1,Cluster 12,0,27.13
iehikahg-1,Cluster 12,0,54.09
iegikagl-1,Cluster 12,0,38.47
iegijjon-1,Cluster 12,0,108.29
iegjelgk-1,Cluster 12,0,144.87
ieglpgcf-1,Cluster 12,0,57.21
dcomcdkf-1,Cluster 12,0,40.66
ieglobml-1,Cluster 12,0,98.33
ieibofmj-1,Cluster 12,0,49.85
ieibpbjf-1,Cluster 12,0,22.86
iegihgaj-1,Cluster 12,0,27.15
iegipcni-1,Cluster 12,0,45.55
iegiegco-1,Cluster 12,0,34.70
ieiapkhg-1,Cluster 12,0,34.50
ieiajibo-1,Cluster 12,0,18.86
ieibbhhg-1,Cluster 12,0,57.03
ieiboffe-1,Cluster 12,0,44.68
ieicfdoa-1,Cluster 12,0,46.91
ieiciacn-1,Cluster 12,0,11.87
ieidcjoh-1,Cluster 5,0,34.07
ieichbjl-1,Cluster 12,0,84.83
ieicfpje-1,Cluster 12,0,46.40
ieicngop-1,Cluster 12,0,37.86
iehihdjg-1,Cluster 12,0,23.70
ieiafaij-1,Cluster 14,0,107.59
ieiajecm-1,Cluster 14,0,100.93
dhbhmemc-1,Cluster 14,0,175.98
iehjidhd-1,Unassigned,0,83.46
dcolphag-1,Cluster 12,0,56.32
iehphcbd-1,Cluster 14,0,133.21
iehpgenn-1,Cluster 14,0,138.44
iehimadl-1,Cluster 12,0,58.91
iehkbolk-1,Unassigned,0,10.07
iehkdnfe-1,Cluster 12,0,77.63
nikfoilc-1,Cluster 18,0,95.12
iehiedhc-1,Cluster 12,0,56.38
nikgdfcg-1,Cluster 18,0,134.61
nikgegka-1,Cluster 12,0,113.08
ohpibdde-1,Cluster 18,0,22.74
iehpgdpb-1,Cluster 18,0,51.22
iehiaakf-1,Cluster 12,0,63.16
iehplmke-1,Cluster 19,0,78.47
dhbhholf-1,Cluster 14,0,215.36
ieiadopa-1,Cluster 12,0,41.74
dcomaimf-1,Cluster 12,0,43.01
ieienhmf-1,Cluster 12,0,60.19
ieidobmm-1,Cluster 16,0,105.62
ieidfbpc-1,Cluster 12,0,38.59
ieieghad-1,Cluster 12,0,37.42
ieifempg-1,Cluster 1,0,100.40
ieichggb-1,Cluster 12,0,36.97
ieiehhdo-1,Cluster 12,0,25.81
ieiegnbc-1,Cluster 12,0,54.51
dhbbfnpd-1,Cluster 16,0,93.41
ieiflifi-1,Cluster 12,0,49.46
ieideofl-1,Cluster 16,0,80.59
ieideicj-1,Cluster 1,0,68.98
iehiepgd-1,Cluster 12,0,59.66
ieifkedj-1,Cluster 1,0,46.94
ieieacie-1,Cluster 13,0,86.72
loekpjlg-1,Cluster 12,0,26.88
loefbbcm-1,Cluster 12,0,34.20
loeemebb-1,Cluster 12,0,56.74
loeephhc-1,Cluster 12,0,24.76
ohpiaaed-1,Cluster 12,0,16.34
ohpidfpd-1,Unassigned,0,16.65
loeeodnj-1,Cluster 12,0,66.78
iehiecak-1,Cluster 12,0,39.06
loednpnp-1,Cluster 18,0,113.25
loeljcfk-1,Cluster 12,0,65.47
loeeehod-1,Cluster 12,0,47.96
ohphhnih-1,Cluster 12,0,18.87
loelhdgp-1,Cluster 10,0,89.44
loelmggk-1,Cluster 10,0,98.23
loealmnf-1,Cluster 18,0,41.28
loelmmii-1,Cluster 12,0,99.56
loeaobcm-1,Cluster 14,0,151.71
loebbmpm-1,Cluster 18,0,68.04
loeeggbp-1,Cluster 12,0,29.83
loelodpl-1,Cluster 12,0,89.62
loendogi-1,Cluster 18,0,67.55
loelaoge-1,Cluster 12,0,58.45
