#Selection name: Selection 1
#Area (µm^2): 1396929.89
Cell ID,Cluster,Transcripts,Area (µm^2)
familppb-1,Cluster 9,0,29.45
copccngf-1,Cluster 2,0,59.15
faohdgjo-1,Cluster 5,0,36.36
comhfced-1,Cluster 4,0,50.41
confkgfg-1,Cluster 4,0,79.36
fanmbpdc-1,Cluster 2,0,47.16
conkkfji-1,Cluster 5,0,26.53
fanlncdp-1,Cluster 4,0,154.81
nnkgggaj-1,Cluster 9,0,57.87
conkoapl-1,Cluster 4,0,72.36
nnkfmica-1,Cluster 19,0,27.58
confhelj-1,Cluster 2,0,39.77
fanloakm-1,Unassigned,0,13.96
conkndpn-1,Cluster 2,0,105.03
colgkjbk-1,Cluster 4,0,35.69
comhnkcp-1,Cluster 4,0,106.26
conijhgg-1,Cluster 4,0,51.72
comhkgcj-1,Cluster 5,0,41.27
conhajof-1,Cluster 4,0,54.17
conlabki-1,Cluster 4,0,17.48
colgagii-1,Cluster 4,0,56.08
comhkefb-1,Cluster 2,0,118.00
conbaofc-1,Cluster 4,0,60.22
fapcnnnl-1,Cluster 6,0,88.62
congkgdm-1,Cluster 2,0,93.09
concbjfa-1,Cluster 2,0,61.63
conboeej-1,Cluster 4,0,31.44
conblkho-1,Cluster 17,0,74.11
condploa-1,Cluster 4,0,102.15
conbegan-1,Cluster 4,0,29.96
colklabo-1,Cluster 5,0,23.90
colkijoh-1,Cluster 5,0,38.39
colkcdkp-1,Cluster 5,0,83.07
comjdbbo-1,Cluster 4,0,40.27
fanjefch-1,Cluster 4,0,135.03
coljnkap-1,Cluster 2,0,67.94
colhcibe-1,Cluster 5,0,28.96
comianlm-1,Cluster 17,0,146.80
comhcgdf-1,Cluster 5,0,27.79
fanlljee-1,Cluster 4,0,148.66
comhkbph-1,Cluster 5,0,61.97
comggbmg-1,Cluster 2,0,63.19
nnkfidjn-1,Cluster 4,0,102.89
comghlgk-1,Cluster 4,0,105.15
colhoapo-1,Cluster 4,0,49.49
coljcmgd-1,Cluster 5,0,29.56
colkgpgh-1,Cluster 4,0,216.14
comikdbp-1,Cluster 4,0,29.26
comipnjn-1,Cluster 4,0,181.68
fapdpmna-1,Cluster 10,0,189.89
conaablc-1,Cluster 4,0,79.09
conkgchf-1,Cluster 4,0,24.63
fanihiak-1,Cluster 4,0,64.32
conkjped-1,Cluster 5,0,37.52
conebiba-1,Cluster 4,0,29.22
confabhk-1,Cluster 17,0,159.81
conafnhi-1,Cluster 4,0,66.15
conjjaim-1,Cluster 4,0,35.15
colfmnbf-1,Cluster 5,0,62.48
conhfagm-1,Cluster 2,0,74.95
connebol-1,Cluster 4,0,201.97
comppnmc-1,Cluster 4,0,120.86
conaikdc-1,Cluster 4,0,26.43
conocmjj-1,Cluster 5,0,36.41
faogijek-1,Cluster 10,0,111.80
conlkmjm-1,Cluster 4,0,69.61
connodab-1,Cluster 2,0,74.57
faoincph-1,Cluster 10,0,112.91
fapcecmm-1,Cluster 9,0,58.45
fapbanck-1,Cluster 4,0,50.18
fapbhign-1,Cluster 4,0,74.55
faojdpho-1,Cluster 6,0,42.97
copdiblm-1,Cluster 6,0,42.75
copcnpep-1,Cluster 10,0,55.13
faohgkjl-1,Cluster 9,0,39.66
copddkln-1,Cluster 6,0,60.93
faoghnei-1,Cluster 6,0,69.65
fapcldcf-1,Cluster 9,0,23.05
fapdogeo-1,Cluster 9,0,20.10
faoibfjo-1,Cluster 5,0,87.89
faojpnaf-1,Cluster 5,0,44.78
fapcaiah-1,Cluster 9,0,89.80
fapccpmj-1,Cluster 5,0,121.12
faojkjei-1,Cluster 9,0,21.43
conpfgkc-1,Cluster 2,0,127.24
fanklmde-1,Cluster 9,0,27.58
collomia-1,Cluster 2,0,123.16
comebfcp-1,Cluster 4,0,37.76
nnkejllg-1,Cluster 9,0,15.70
comfnjpc-1,Cluster 4,0,188.74
fanjifnd-1,Cluster 4,0,66.72
comaemag-1,Cluster 4,0,48.03
comgcphf-1,Cluster 2,0,65.93
combbffa-1,Cluster 4,0,90.76
combegie-1,Cluster 4,0,43.31
comdockl-1,Cluster 5,0,16.24
nnkeilbm-1,Cluster 4,0,160.94
fanlgmhh-1,Cluster 8,0,137.49
fankgbno-1,Cluster 21,0,74.59
nnkfiinp-1,Cluster 7,0,57.02
comcmbbh-1,Cluster 2,0,80.92
comdedkk-1,Cluster 17,0,124.22
