#Selection name: Selection 1
#Area (µm^2): 8183508.86
Cell ID,Cluster,Transcripts,Area (µm^2)
ljmdcdma-1,Cluster 14,0,41.93
kkhnhbcd-1,Cluster 19,0,46.67
klpknjfj-1,Cluster 2,0,65.20
agpbekin-1,Cluster 19,0,73.97
agilbodo-1,Cluster 18,0,74.31
khmcgckc-1,Cluster 15,0,159.39
khioiopa-1,Cluster 18,0,45.18
khjmnjnn-1,Cluster 18,0,65.25
kleikdbo-1,Cluster 3,0,109.02
khhneenp-1,Cluster 18,0,50.10
khhlmjfh-1,Cluster 12,0,69.37
klejkdng-1,Cluster 16,0,152.27
aghlhfeg-1,Cluster 7,0,102.46
klekahno-1,Cluster 3,0,70.08
aghlgohc-1,Cluster 3,0,143.77
klfemiae-1,Cluster 3,0,379.57
klejidje-1,Cluster 7,0,97.80
klekggkn-1,Cluster 3,0,94.66
klekdbnf-1,Cluster 3,0,86.66
klfekboh-1,Cluster 3,0,201.43
klekdbia-1,Cluster 3,0,158.27
klekhipi-1,Cluster 3,0,191.00
klekilmn-1,Cluster 3,0,40.08
klekhelo-1,Cluster 3,0,37.10
klekfoel-1,Cluster 3,0,51.87
aghjiaea-1,Cluster 3,0,96.52
agfkoooo-1,Unassigned,0,69.82
klfekoek-1,Cluster 3,0,53.29
aghlbpmn-1,Cluster 3,0,30.54
oeijgpkn-1,Cluster 1,0,73.30
oeijhggm-1,Cluster 2,0,33.65
khhinhbe-1,Cluster 18,0,25.37
klelcjgm-1,Cluster 16,0,53.52
oeijihof-1,Cluster 1,0,16.96
aghledio-1,Cluster 3,0,112.93
aghlcolm-1,Cluster 7,0,64.12
aginlnjf-1,Cluster 16,0,45.98
aginnifb-1,Cluster 7,0,109.05
aginiknd-1,Cluster 16,0,128.77
oefllpne-1,Cluster 27,0,170.43
klekkkli-1,Cluster 21,0,134.48
aginnjdl-1,Cluster 16,0,106.69
klellllh-1,Cluster 12,0,161.63
kleliphc-1,Cluster 10,0,132.48
kleljihe-1,Cluster 3,0,67.79
aghljcmp-1,Cluster 3,0,88.96
klekfknd-1,Cluster 5,0,37.18
klekfdoo-1,Cluster 3,0,127.90
oeijlifd-1,Cluster 9,0,26.80
oeijpakc-1,Cluster 6,0,32.84
klfepeoo-1,Cluster 12,0,86.47
klffacef-1,Cluster 3,0,145.27
aghjioad-1,Cluster 3,0,124.57
klfeojio-1,Cluster 2,0,47.49
klfbomcn-1,Cluster 6,0,44.85
klffapcg-1,Cluster 3,0,71.65
kleiicjo-1,Cluster 3,0,76.39
kleihfaj-1,Cluster 1,0,25.73
klfccpnp-1,Cluster 3,0,113.54
klffafed-1,Cluster 15,0,108.61
klfaplmk-1,Cluster 22,0,29.56
klfagmle-1,Cluster 6,0,70.49
klfagjck-1,Cluster 1,0,17.86
kleoanlo-1,Cluster 3,0,105.04
klejglkk-1,Cluster 3,0,140.75
klemkhbg-1,Cluster 2,0,23.65
khhmpilm-1,Cluster 1,0,16.57
klemijgo-1,Cluster 2,0,53.63
aghlnlog-1,Cluster 3,0,56.47
klelomjd-1,Cluster 13,0,83.41
klemjglp-1,Cluster 10,0,86.01
aghlnanf-1,Cluster 3,0,79.59
klelpnee-1,Cluster 2,0,23.65
oeijjlhe-1,Cluster 5,0,21.76
klencmbj-1,Cluster 20,0,93.01
kleimdji-1,Cluster 3,0,53.74
aghlkpic-1,Cluster 19,0,44.64
aghljdfb-1,Cluster 3,0,123.17
aghkpcah-1,Cluster 19,0,82.93
khhmcgnh-1,Cluster 2,0,41.92
khhigfae-1,Cluster 2,0,27.52
khhjgdjo-1,Cluster 18,0,30.36
khhjeagf-1,Cluster 13,0,43.56
khhiihkj-1,Cluster 18,0,83.74
khhihhgf-1,Cluster 3,0,33.42
khhlemfi-1,Cluster 18,0,34.66
