#Selection name: Selection 1
#Area (µm^2): 4868031.97
Cell ID,Cluster,Transcripts,Area (µm^2)
cninjpnk-1,Cluster 23,0,280.15
odhpfdlf-1,Cluster 4,0,50.36
kgfgmhpf-1,Cluster 4,0,63.72
cnjaddnh-1,Cluster 23,0,86.34
cniloeik-1,Cluster 23,0,87.84
kgfhhgol-1,Cluster 23,0,33.10
cnipnaka-1,Cluster 23,0,76.70
cnjackho-1,Cluster 23,0,77.84
cnimmfbe-1,Cluster 23,0,172.40
cnioaedo-1,Cluster 23,0,95.26
odiacmhi-1,Cluster 23,0,168.17
cnioihpc-1,Cluster 23,0,151.38
kgfjcfij-1,Cluster 10,0,74.97
kgfgmfhl-1,Cluster 4,0,29.13
cnippghe-1,Cluster 9,0,59.32
kgfjalih-1,Cluster 10,0,107.62
kgeoflee-1,Cluster 23,0,32.36
kgenpogc-1,Cluster 23,0,150.76
cnlkfnni-1,Cluster 1,0,32.48
cnljmgkf-1,Cluster 23,0,60.16
cnljamno-1,Cluster 23,0,87.34
cnlkhiph-1,Cluster 23,0,69.00
kgfjeddd-1,Cluster 23,0,58.88
cnliinod-1,Cluster 23,0,47.08
cnljombj-1,Cluster 23,0,122.75
kgepfdjn-1,Cluster 23,0,103.86
kgfigljn-1,Cluster 23,0,105.72
odiclcge-1,Cluster 23,0,84.81
cnimigmd-1,Cluster 23,0,65.16
kgfbhpgn-1,Cluster 23,0,36.15
cnmfdijm-1,Cluster 23,0,79.42
kgfaplng-1,Cluster 23,0,51.69
cnmfjkce-1,Cluster 23,0,75.48
kflhjdbj-1,Cluster 23,0,39.24
cnmjiiao-1,Cluster 23,0,49.86
kflidicc-1,Cluster 23,0,48.03
kflidjmm-1,Cluster 23,0,104.60
cnjaoeil-1,Cluster 23,0,77.75
kflibkpg-1,Cluster 23,0,49.19
cnilnlpf-1,Cluster 23,0,43.36
kgeoopap-1,Cluster 23,0,28.58
cnmejfjg-1,Cluster 23,0,76.50
cnmfpejo-1,Cluster 23,0,95.76
kflgpoij-1,Cluster 23,0,46.05
kflgmdhn-1,Cluster 23,0,35.03
cnjaldkf-1,Cluster 23,0,60.37
cnjbecbo-1,Cluster 23,0,27.81
kflhadne-1,Cluster 23,0,74.25
cnmkcbod-1,Cluster 23,0,184.48
cnjdejai-1,Cluster 23,0,91.07
cnmimbfd-1,Cluster 23,0,113.09
cnllepon-1,Cluster 3,0,80.75
cnjebmdg-1,Cluster 23,0,46.94
kflfgknf-1,Cluster 23,0,11.79
cnjeieni-1,Cluster 23,0,71.34
cnjajdfp-1,Cluster 23,0,52.00
cnjdlibo-1,Cluster 23,0,64.21
cnmkdoof-1,Cluster 23,0,88.85
cnjdokda-1,Cluster 23,0,32.28
kfllecjm-1,Cluster 16,0,68.57
kflkecgj-1,Cluster 23,0,48.13
cnjfoffg-1,Cluster 23,0,105.85
cnmijomn-1,Cluster 23,0,70.98
cnjgmocd-1,Cluster 23,0,83.26
odgbkdim-1,Cluster 10,0,57.35
cnjfonpd-1,Cluster 23,0,50.97
cnmiilfj-1,Cluster 23,0,76.57
kflnieik-1,Cluster 23,0,128.29
kflnngok-1,Cluster 3,0,37.38
cnjedohc-1,Cluster 23,0,39.93
cnjafbjc-1,Cluster 23,0,26.24
kfllnodb-1,Cluster 23,0,93.46
cnjejbeg-1,Cluster 23,0,72.94
cnjhgcmf-1,Cluster 23,0,89.70
cnmhaceb-1,Cluster 9,0,69.39
kfldpkfa-1,Cluster 23,0,93.38
cnjjeogj-1,Cluster 23,0,128.50
cnjjahoi-1,Cluster 10,0,85.10
cnmiepal-1,Cluster 2,0,75.28
cnjiaakb-1,Cluster 9,0,66.73
kfllnmha-1,Cluster 23,0,58.03
cnjfddek-1,Cluster 23,0,91.88
cnijcldk-1,Cluster 23,0,118.61
kfjhhcma-1,Cluster 3,0,39.83
kflebkco-1,Cluster 23,0,109.43
kfjjfbkb-1,Cluster 23,0,23.31
kfjjjggd-1,Cluster 1,0,13.68
kfleneja-1,Cluster 23,0,67.16
