#Selection name: Selection 1
#Area (µm^2): 6012318.85
Cell ID,Cluster,Transcripts,Area (µm^2)
dccppgle-1,Unassigned,0,34.28
jakajckk-1,Cluster 2,0,37.59
dcfmembb-1,Cluster 2,0,46.08
jbdacmln-1,Cluster 2,0,15.56
jckhindn-1,Cluster 2,0,31.92
dcfjgpdg-1,Cluster 2,0,47.34
jbcjlglb-1,Cluster 2,0,26.12
jajmncdn-1,Cluster 2,0,16.55
jbcpgpdm-1,Cluster 2,0,54.45
jbddogpi-1,Cluster 2,0,59.33
jajnolnl-1,Cluster 2,0,26.21
dcfjaijf-1,Cluster 2,0,33.79
jajinjie-1,Cluster 2,0,53.33
dcfhkiik-1,Cluster 2,0,23.98
jbdejbii-1,Cluster 2,0,77.92
dcfmegmn-1,Cluster 2,0,36.00
jbdagemp-1,Cluster 7,0,23.21
dcfmngom-1,Cluster 2,0,33.93
jckdmmfk-1,Cluster 2,0,7.42
jbdcljfo-1,Cluster 2,0,16.52
jbdcbpcd-1,Cluster 2,0,19.46
jbdcacaf-1,Cluster 2,0,29.79
dcfkcakp-1,Cluster 2,0,37.08
oapnghje-1,Cluster 2,0,29.50
jddacejk-1,Cluster 2,0,55.81
jckegjlf-1,Cluster 2,0,10.78
jddiakjn-1,Cluster 2,0,27.29
jamdmmlg-1,Cluster 7,0,36.16
jckedelp-1,Cluster 2,0,48.01
jajgnhhm-1,Cluster 2,0,24.33
jakbgllg-1,Cluster 16,0,43.41
jbcpkhkd-1,Cluster 2,0,23.08
jajllpkd-1,Cluster 2,0,21.55
jajmebhn-1,Cluster 2,0,61.83
jakadnnb-1,Cluster 2,0,44.57
jakcjgjp-1,Cluster 2,0,15.59
jajgmaib-1,Cluster 2,0,55.23
jbcklejn-1,Cluster 2,0,59.05
jbcmlini-1,Cluster 2,0,51.19
jbdcbbjg-1,Cluster 2,0,64.07
jbdaiikp-1,Cluster 7,0,15.39
jbdacmbc-1,Cluster 7,0,58.03
jbddmpki-1,Cluster 2,0,9.64
jcnaoonm-1,Cluster 5,0,16.38
jdddnhlm-1,Cluster 13,0,41.62
jaloogbb-1,Cluster 2,0,40.46
jdffmboi-1,Cluster 2,0,45.95
jcmpablc-1,Cluster 2,0,34.86
jcmddfnl-1,Cluster 16,0,36.55
jcmpmbgd-1,Cluster 2,0,26.08
jcnabnbd-1,Cluster 2,0,38.35
dcfkkjal-1,Cluster 2,0,37.29
jclmkmlp-1,Cluster 2,0,13.60
jcmdhapl-1,Cluster 2,0,58.04
jclpmhfm-1,Cluster 2,0,30.40
jamgbcdm-1,Cluster 2,0,16.59
jamidcfn-1,Cluster 5,0,16.48
jdfdbhpl-1,Cluster 2,0,35.61
jdcpikgc-1,Cluster 2,0,65.50
jamambal-1,Cluster 7,0,61.90
jcloomfh-1,Cluster 2,0,16.13
jamkknfg-1,Cluster 11,0,41.62
jdfeddkk-1,Cluster 2,0,26.04
dcflhglh-1,Cluster 2,0,38.43
jcnbhmgd-1,Cluster 12,0,16.12
jdfdjjfh-1,Cluster 8,0,8.06
dcjfddij-1,Cluster 2,0,38.62
dchhmakk-1,Cluster 4,0,126.34
jcnckool-1,Cluster 5,0,44.17
dcfjjdgo-1,Cluster 2,0,34.25
jcmdjabh-1,Cluster 12,0,6.55
jcnffpbp-1,Cluster 5,0,46.15
jdfcnfgp-1,Cluster 2,0,63.73
jcnhgjkm-1,Cluster 2,0,32.76
jdfeppef-1,Cluster 7,0,20.05
jamjifdm-1,Cluster 16,0,46.05
jakjmnmn-1,Cluster 2,0,29.09
jakimfhg-1,Cluster 2,0,40.36
dcfplbgl-1,Cluster 2,0,38.38
jbbkabfk-1,Cluster 2,0,29.33
jbcijbjj-1,Cluster 2,0,37.57
dcfpjhfa-1,Cluster 2,0,34.14
jbcggmpg-1,Cluster 2,0,28.15
jbceldia-1,Cluster 2,0,16.88
jbbkpbmh-1,Cluster 12,0,7.11
jbcaamnk-1,Cluster 2,0,48.82
dcfpmmio-1,Cluster 3,0,70.62
jbcgjhmn-1,Cluster 2,0,12.11
jbccibff-1,Cluster 2,0,14.48
jbcibgnk-1,Cluster 2,0,39.14
jbbjdhlk-1,Cluster 2,0,18.72
jbcejjeo-1,Cluster 2,0,39.00
jahddddi-1,Cluster 7,0,57.65
jahjoonn-1,Cluster 11,0,36.37
jahlmbeo-1,Cluster 16,0,59.24
dchhifao-1,Cluster 2,0,42.52
jagodddg-1,Cluster 5,0,29.25
jahbijbi-1,Cluster 16,0,51.53
oanjoiam-1,Cluster 8,0,6.82
jakgnajg-1,Cluster 2,0,42.84
dcfhdhlp-1,Cluster 2,0,35.07
oankhiji-1,Cluster 23,0,21.13
jajpboaf-1,Cluster 12,0,30.32
jajpgdno-1,Cluster 2,0,44.80
jahcdecf-1,Cluster 2,0,34.30
jajpbiop-1,Cluster 2,0,34.60
jakghabn-1,Cluster 2,0,46.70
jakcokbm-1,Cluster 23,0,34.89
jakdoodl-1,Cluster 12,0,50.76
jakikcbh-1,Cluster 2,0,24.22
jakjaono-1,Cluster 12,0,34.71
jbbmjjbo-1,Cluster 2,0,28.75
jbbgomci-1,Cluster 2,0,11.60
jbbnecpk-1,Cluster 16,0,14.38
jbbpnogc-1,Cluster 3,0,56.49
jbbnfmge-1,Cluster 2,0,15.70
jbboaggd-1,Cluster 6,0,32.82
jbcaeidl-1,Cluster 7,0,77.39
jakldjmk-1,Cluster 5,0,34.14
jbcamknk-1,Cluster 7,0,68.66
dcfoldag-1,Cluster 3,0,29.01
jaglhfdm-1,Cluster 12,0,22.65
dchbmggc-1,Cluster 2,0,44.17
jahmlecc-1,Cluster 5,0,33.52
jaglbcjm-1,Cluster 12,0,38.56
jahojlej-1,Cluster 16,0,23.51
jahcnbnm-1,Cluster 2,0,34.98
jahnokak-1,Cluster 2,0,34.50
oanbable-1,Cluster 2,0,29.48
jahledek-1,Cluster 2,0,67.60
jahiiiff-1,Cluster 16,0,50.14
jahimiek-1,Cluster 13,0,100.47
jahamdoa-1,Cluster 5,0,49.61
jakdpedp-1,Cluster 12,0,38.90
jakiecgf-1,Cluster 12,0,16.57
bnnddeoj-1,Cluster 4,0,96.34
obaaggld-1,Cluster 14,0,15.90
dcapdkig-1,Cluster 12,0,21.75
dcbclbmp-1,Cluster 23,0,35.52
dcbaiikb-1,Cluster 6,0,90.83
dcbbbpfi-1,Cluster 23,0,35.69
jbgbllbo-1,Cluster 3,0,71.28
jcohhgpk-1,Cluster 20,0,47.59
dcamiidf-1,Cluster 22,0,114.22
dcbaegfi-1,Cluster 6,0,34.85
jcofcgmm-1,Cluster 6,0,73.72
dcbbceog-1,Cluster 3,0,153.61
dcacnece-1,Cluster 11,0,44.53
dbneopch-1,Cluster 4,0,48.56
idmgemme-1,Cluster 12,0,24.60
idmapfpd-1,Cluster 5,0,16.31
bnnjilon-1,Cluster 3,0,154.09
dbnhjcgi-1,Cluster 3,0,130.57
idomongb-1,Cluster 18,0,15.07
jcokmipp-1,Cluster 6,0,196.01
jbfpagme-1,Cluster 6,0,14.96
jbfodnmg-1,Cluster 3,0,29.72
dcakjlej-1,Cluster 6,0,50.73
idmepgfh-1,Cluster 3,0,73.21
dcanjjge-1,Cluster 3,0,70.47
bnnddkcp-1,Cluster 3,0,220.84
bnnhnjhm-1,Cluster 3,0,179.45
dbninahl-1,Cluster 3,0,248.99
janiejbo-1,Cluster 2,0,44.68
dcjbgcih-1,Cluster 2,0,38.98
jdffodnp-1,Cluster 11,0,90.80
jdeeahbi-1,Cluster 2,0,23.32
jdcimmdm-1,Cluster 11,0,33.81
dcjabeon-1,Cluster 2,0,25.01
dcipebbe-1,Cluster 2,0,30.72
jdcilolf-1,Cluster 7,0,23.50
jckkieoc-1,Cluster 2,0,16.54
dcilmeom-1,Cluster 2,0,57.08
jcknfogj-1,Cluster 2,0,38.20
jckkpgao-1,Cluster 2,0,21.77
obacppjd-1,Cluster 12,0,22.78
dcioomfj-1,Cluster 11,0,76.35
obacejnm-1,Cluster 12,0,108.13
jdfhjmme-1,Cluster 2,0,52.31
janomnge-1,Cluster 17,0,33.29
oaofpnbi-1,Cluster 9,0,20.43
dcikmaoc-1,Cluster 2,0,62.16
jdfjiiko-1,Cluster 16,0,20.83
jcmngmjh-1,Cluster 2,0,28.71
janmjheg-1,Cluster 23,0,32.18
janihfda-1,Cluster 2,0,80.88
jamjilal-1,Cluster 11,0,43.61
dcjdfiel-1,Cluster 3,0,250.29
dcijicfk-1,Cluster 2,0,44.75
obadagao-1,Cluster 5,0,35.60
dcijejde-1,Cluster 2,0,45.42
dcjebjbp-1,Cluster 2,0,47.98
jamjenai-1,Cluster 11,0,124.44
dcjbnobg-1,Cluster 2,0,38.41
jckliblj-1,Cluster 11,0,58.60
dchkjgdl-1,Cluster 2,0,37.85
jclaacfe-1,Cluster 7,0,73.71
dbnmhbnh-1,Cluster 3,0,143.51
dcabegfi-1,Cluster 11,0,70.72
dcacpple-1,Cluster 11,0,74.92
oaoacbjd-1,Cluster 18,0,5.12
dbnkijje-1,Cluster 23,0,24.52
dbnmjiff-1,Cluster 11,0,98.01
dbnnnoig-1,Cluster 3,0,148.17
dbniolgm-1,Cluster 4,0,95.94
obaapojh-1,Cluster 14,0,20.69
jdcopgbd-1,Cluster 11,0,15.83
jangcmkm-1,Cluster 22,0,28.68
janelhig-1,Cluster 2,0,27.45
janfjpkf-1,Cluster 2,0,51.26
janpdkjp-1,Cluster 2,0,81.29
jannlnma-1,Cluster 23,0,66.38
janmdldn-1,Cluster 2,0,16.13
dchfedam-1,Cluster 3,0,150.64
dchdnckh-1,Cluster 4,0,294.87
dchfeanp-1,Cluster 3,0,164.13
janldgid-1,Cluster 3,0,255.33
dcjaegje-1,Cluster 3,0,93.93
dchkleah-1,Cluster 3,0,261.57
dcjcmphf-1,Cluster 11,0,161.99
dchimjcb-1,Cluster 11,0,161.88
jaiegbpb-1,Cluster 8,0,16.51
oanfndah-1,Cluster 14,0,31.34
jbbghiph-1,Cluster 3,0,165.80
jbbgdpak-1,Cluster 5,0,14.76
jaijkpgn-1,Cluster 2,0,43.90
jaigpdjn-1,Cluster 2,0,36.21
jaiobjpm-1,Cluster 12,0,49.67
jaioidlo-1,Cluster 2,0,63.37
oanbcdci-1,Cluster 12,0,17.24
jbbhdcje-1,Cluster 6,0,46.90
janclohe-1,Cluster 12,0,36.87
jailaodm-1,Cluster 2,0,64.09
dchhnped-1,Cluster 2,0,52.32
