#Selection name: Selection 1
#Area (µm^2): 12614311.61
Cell ID,Cluster,Transcripts,Area (µm^2)
idcgjhdf-1,Cluster 1,0,15.85
hgiimnpf-1,Cluster 1,0,9.15
jhjnmmke-1,Cluster 10,0,75.95
kghnafhj-1,Cluster 1,0,26.84
ambabbod-1,Cluster 4,0,62.94
alndckbh-1,Cluster 11,0,49.04
alnongnl-1,Cluster 11,0,60.55
almlekln-1,Cluster 11,0,147.27
jkkdldan-1,Cluster 1,0,25.10
jkkdiphe-1,Cluster 2,0,52.14
jkkdikhk-1,Cluster 2,0,13.95
obomgfnd-1,Cluster 2,0,118.85
obokdcom-1,Cluster 1,0,119.55
almmkckn-1,Cluster 1,0,25.54
obokcipa-1,Cluster 2,0,77.47
obokagej-1,Cluster 2,0,87.54
jkkdbpeb-1,Cluster 1,0,10.67
obomgdff-1,Cluster 2,0,147.33
almjmflb-1,Cluster 2,0,46.89
almkndpa-1,Cluster 11,0,182.91
jkkekjkf-1,Cluster 13,0,33.89
almlginp-1,Cluster 13,0,60.90
obpapbhg-1,Cluster 2,0,132.95
obolhiac-1,Cluster 2,0,90.54
almoojnd-1,Cluster 13,0,54.19
almnbehg-1,Cluster 13,0,64.78
obomjlkb-1,Cluster 2,0,105.09
alnalhdb-1,Cluster 13,0,27.62
alnbpegm-1,Cluster 13,0,41.24
alnagnfj-1,Cluster 13,0,29.63
almpjfei-1,Cluster 11,0,145.41
almpgfml-1,Cluster 13,0,50.71
jkkdbhfo-1,Cluster 2,0,33.22
almoanne-1,Cluster 13,0,97.96
jkkamohb-1,Cluster 2,0,44.95
almmebbe-1,Cluster 13,0,54.87
jnhnlfnb-1,Cluster 2,0,5.87
almhdane-1,Cluster 11,0,45.71
alnekego-1,Cluster 13,0,33.37
almikcdp-1,Cluster 11,0,59.44
alneijaa-1,Cluster 11,0,90.66
almfkkan-1,Cluster 13,0,53.35
alncfgkb-1,Cluster 11,0,47.34
almffeoc-1,Cluster 13,0,33.21
alndchnb-1,Cluster 13,0,58.35
jkmgdbfb-1,Cluster 20,0,70.94
jkkemadc-1,Cluster 1,0,9.66
alnjdifb-1,Cluster 13,0,103.87
obomknnk-1,Cluster 1,0,83.91
alnjbmoo-1,Cluster 2,0,100.50
obpbodoj-1,Cluster 2,0,91.82
alnkajcg-1,Cluster 11,0,100.19
aloakpae-1,Cluster 13,0,39.20
alniedjo-1,Cluster 11,0,90.49
obpcnlnm-1,Cluster 1,0,16.75
alnpfomn-1,Cluster 11,0,134.19
oboofjef-1,Cluster 1,0,71.69
obpgffhd-1,Cluster 1,0,113.39
oboplkif-1,Cluster 2,0,77.12
jkmgaepc-1,Cluster 13,0,120.56
obopgpbp-1,Cluster 1,0,72.19
alnhiidg-1,Cluster 13,0,49.02
alngflnh-1,Cluster 11,0,104.58
jkmfmmal-1,Cluster 2,0,79.80
alogmdfj-1,Cluster 16,0,66.08
jkkickcd-1,Cluster 13,0,41.00
alogdooe-1,Cluster 11,0,87.63
aloegmla-1,Cluster 11,0,84.50
aloebcfa-1,Cluster 13,0,56.53
alodbnli-1,Cluster 8,0,48.48
jkkhifbk-1,Cluster 13,0,39.09
jkkfddpa-1,Cluster 13,0,34.32
alobghhi-1,Cluster 11,0,55.23
alobildo-1,Cluster 11,0,53.38
jkmgfoca-1,Cluster 16,0,13.24
