"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NDRG1",0,-2.21736548302472,0.441,0.824,0
"PLOD2",0,-1.70897977198837,0.41,0.728,0
"P4HA1",0,-1.69625207372038,0.266,0.55,0
"LAMC2",0,1.45528830325475,0.52,0.269,0
"RBP1",0,2.55731170984591,0.314,0.074,0
"LAMA3",0,1.3465069478152,0.46,0.222,0
"MMP14",0,1.18673268755861,0.55,0.317,0
"CCND1",0,1.20732772799855,0.493,0.266,0
"UBD",0,3.38633724976657,0.28,0.056,0
"KLK10",0,1.7931843640984,0.352,0.138,0
"TAP1",0,1.55993259683595,0.384,0.171,0
"STAT1",0,1.2615069843644,0.43,0.225,0
"TGFBI",0,1.52836604304155,0.907,0.705,0
"TFF1",0,-1.30280455179802,0.287,0.486,0
"VEGFA",0,-1.20893811373885,0.518,0.715,0
"TIMP2",0,1.56786555708342,0.328,0.144,0
"ALDOA",0,-1.0281427895822,0.525,0.708,0
"MYOF",0,1.05819373574344,0.405,0.227,0
"KRT17",0,1.74488419048306,0.257,0.085,0
"TAP2",0,1.64063358449109,0.272,0.101,0
"HK2",0,-1.67086900953079,0.128,0.299,0
"TFF3",0,-1.1448399344265,0.242,0.413,0
"GNAI2",0,1.20547764649252,0.324,0.156,0
"MX1",0,1.48794255973003,0.293,0.126,0
"LAMB3",0,0.68002215828529,0.594,0.428,0
"PLXNB2",0,0.617372384276798,0.635,0.47,0
"ITGA3",0,0.90814476564375,0.4,0.236,0
"CXCL2",0,1.75967307571319,0.261,0.098,0
"ITGB4",0,0.813493931145699,0.66,0.498,0
"IRAK1",0,0.620940673183023,0.557,0.396,0
"LIF",0,1.75117318640609,0.257,0.099,0
"SEPTIN9",0,0.573595623204338,0.661,0.505,0
"GFPT1",0,-1.03481694355199,0.413,0.568,0
"MSN",0,1.66407725387726,0.247,0.093,0
"ADAR",0,0.779020749635197,0.425,0.271,0
"PIEZO1",0,1.2023918751491,0.286,0.132,0
"ZMIZ2",0,0.818290771670859,0.385,0.232,0
"FLII",0,0.764575881268403,0.435,0.283,0
"KDM3A",0,-1.43774202351254,0.189,0.339,0
"PEA15",0,0.835777001160106,0.363,0.219,0
"CEACAM1",0,-0.977837652288734,0.312,0.455,0
"MVP",0,0.544753739857171,0.66,0.517,0
"KLF4",0,-1.18310813666611,0.193,0.335,0
"GSTO1",0,0.848712498982458,0.376,0.234,0
"PGK1",0,-0.909456192284084,0.458,0.6,0
"TFRC",0,-1.09474184716713,0.341,0.483,0
"CD151",0,0.621369159449343,0.464,0.324,0
"LAMP1",0,0.441993517255904,0.715,0.575,0
"OAS3",0,1.4583805881662,0.243,0.103,0
"LBH",0,1.26317319939408,0.264,0.125,0
"TUBB",0,0.511467899490872,0.65,0.511,0
"TINAGL1",0,0.584929861937923,0.57,0.431,0
"LAD1",0,0.5177069727189,0.533,0.395,0
"ITGB6",0,1.13986938685812,0.277,0.141,0
"CD47",0,0.661423883300523,0.532,0.396,0
"GTF2I",0,0.590932419522365,0.442,0.306,0
"SULF2",0,1.05158480548948,0.26,0.125,0
"IRF1",0,1.11365970689394,0.36,0.226,0
"ANXA3",0,0.462462144173495,0.579,0.445,0
"SLC40A1",0,-1.02531908906627,0.421,0.554,0
"PLEC",0,0.61654675841966,0.785,0.653,0
"TRIM47",0,1.38126208358152,0.231,0.099,0
"SOX9",0,0.28120771675817,0.59,0.458,0
"GAS6",0,1.29913457015556,0.259,0.128,0
"CFB",0,1.26562039669981,0.263,0.133,0
"GIPC1",0,0.592115578918056,0.4,0.272,0
"EGLN3",0,-1.19760588369861,0.147,0.273,0
"FURIN",0,0.956852069262263,0.272,0.146,0
"BMP4",0,1.17487698076183,0.267,0.142,0
"MAP4K4",0,1.00566924880541,0.253,0.129,0
"MYO1C",0,0.618903544397802,0.387,0.265,0
"PON2",0,0.675671681144157,0.335,0.214,0
"CTNNB1",0,0.465164239164628,0.709,0.589,0
"HMGA1",0,0.523527092151789,0.596,0.476,0
"DAG1",0,0.81784360153433,0.287,0.167,0
"GLS",0,0.734596809966212,0.344,0.224,0
"TUBA4A",0,1.161403435644,0.23,0.111,0
"MAPKAPK2",0,0.463668943651101,0.415,0.296,0
"EIF5A",0,0.4552838631723,0.532,0.414,0
"SOD3",0,1.42342883155875,0.222,0.104,0
"SORL1",0,-0.896366079703538,0.276,0.394,0
"SQSTM1",0,0.397698150331846,0.629,0.512,0
"DST",0,0.441947790416375,0.54,0.424,0
"EIF4G1",0,0.378616270812504,0.56,0.444,0
"TNIP1",0,0.471249323933515,0.481,0.365,0
"ZYX",0,0.481970374372667,0.407,0.291,0
"EFNB2",0,0.422899629053155,0.439,0.324,0
"HSPG2",0,1.12601491247002,0.216,0.103,0
"RHOD",0,0.994778646785047,0.251,0.138,0
"TCIM",0,1.25558364427908,0.228,0.117,0
"CTSA",0,0.382664134367559,0.521,0.411,0
"ANXA1",0,0.286436402926567,0.484,0.374,0
"ANXA5",0,0.471158275584924,0.383,0.273,0
"SDC4",0,0.339027608323548,0.626,0.516,0
"MAP4",0,0.504330368398084,0.401,0.292,0
"NQO1",0,0.329793177413979,0.463,0.354,0
"ITGB5",0,0.773190366711333,0.265,0.156,0
"NECTIN2",0,0.54645768282344,0.33,0.221,0
"BCL2L1",0,0.402412092839461,0.632,0.523,0
"MYH9",0,0.369225101736208,0.749,0.64,0
"MICAL2",0,0.461795732808416,0.397,0.289,0
"PPARG",0,-0.96865263848358,0.193,0.301,0
"TNFRSF12A",0,0.833646327732299,0.237,0.129,0
"CYBA",0,0.589848362167478,0.32,0.213,0
"SFPQ",0,0.358482125819464,0.486,0.379,0
"HNRNPM",0,0.326314848177294,0.555,0.449,0
"CTSH",0,0.906718896544618,0.242,0.136,0
"PTPRF",0,0.318096279292714,0.504,0.398,0
"DNM2",0,-0.785618285394722,0.425,0.53,0
"PTP4A1",0,-0.894928428857208,0.295,0.4,0
"CSRP1",0,0.775422712410291,0.253,0.148,0
"ITGA2",0,0.450102684952722,0.421,0.316,0
"JPT2",0,0.457764348882997,0.384,0.279,0
"CD59",0,0.437187561615144,0.397,0.293,0
"SNRPB",0,0.356127973551643,0.462,0.358,0
"SVIL",0,0.813084285601597,0.246,0.142,0
"CLDN1",0,0.463810333296937,0.431,0.327,0
"JAG1",0,0.580399859523154,0.349,0.245,0
"PLIN2",0,-1.09970753561002,0.16,0.263,0
"SLC11A2",0,-1.27570264613089,0.269,0.372,0
"DYNC1H1",0,0.592222953887175,0.307,0.205,0
"PCNA",0,0.613470041651176,0.302,0.2,0
"AP2M1",0,0.319135424814429,0.536,0.435,0
"TMEM45B",0,-0.693599339385855,0.43,0.531,0
"ITPR3",0,0.36976075148027,0.561,0.461,0
"PINK1",0,0.861870733938831,0.229,0.129,0
"CFLAR",0,0.606573560978307,0.299,0.199,0
"ERRFI1",0,-1.08464608361567,0.266,0.366,0
"CXADR",0,-0.741428218089222,0.441,0.54,0
"IGF2R",0,0.278702119302615,0.512,0.413,0
"TRAP1",0,0.480454398698886,0.358,0.259,0
"TUFM",0,0.314918762619627,0.443,0.345,0
"TRAF5",0,0.642752698786304,0.298,0.2,0
"NUTF2",0,0.414797844198796,0.371,0.274,0
"PRKDC",0,0.437053371469866,0.362,0.265,0
"DNAJC10",0,0.287900219837984,0.408,0.312,0
"COL17A1",0,0.541322327273215,0.27,0.175,0
"RNF43",0,0.277582112172629,0.544,0.449,0
"FOXP4",0,0.539607437441903,0.273,0.179,0
"PSMD2",0,0.640343261297203,0.266,0.172,0
"ABO",0,0.740323774946244,0.229,0.135,0
"EPHB2",0,0.669469440207467,0.251,0.157,0
"MST1R",0,0.722386007781282,0.231,0.137,0
"OGDH",0,0.498850406835295,0.32,0.226,0
"HNRNPH1",0,0.271657941043354,0.707,0.613,0
"CTBP1",0,0.359749536943358,0.4,0.307,0
"KCNN4",0,0.572668314201084,0.257,0.164,0
"PXN",0,0.469767268218433,0.322,0.229,0
"DHCR24",0,0.421336152647789,0.353,0.26,0
"SH3BGRL2",0,-0.60524401943396,0.47,0.562,0
"STUB1",0,0.50585941993184,0.308,0.216,0
"NFKB2",0,0.908381675359007,0.204,0.112,0
"CTTN",0,0.244948233098913,0.629,0.537,0
"RANGAP1",0,0.643488616060397,0.24,0.149,0
"HUWE1",0,0.496565868421821,0.293,0.202,0
"DDR1",0,0.257678685441166,0.523,0.433,0
"PSMC5",0,0.336009166475516,0.441,0.351,0
"CA12",0,-1.10238959585251,0.156,0.246,0
"CXCL16",0,0.681710469175481,0.236,0.146,0
