"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BIRC5",0,2.11520752432779,0.606,0.13,0,"Proliferative-like","BIRC5"
"MYBL2",0,2.07267341322328,0.538,0.112,0,"Proliferative-like","MYBL2"
"TOP2A",0,2.42358454129877,0.511,0.09,0,"Proliferative-like","TOP2A"
"PCNA",0,1.52315737497267,0.698,0.286,0,"Proliferative-like","PCNA"
"RRM2",0,2.24414902522507,0.491,0.09,0,"Proliferative-like","RRM2"
"MCM4",0,1.50756008937248,0.595,0.207,0,"Proliferative-like","MCM4"
"TPX2",0,1.87615745309284,0.478,0.104,0,"Proliferative-like","TPX2"
"MAD2L1",0,1.69064947333909,0.488,0.122,0,"Proliferative-like","MAD2L1"
"MCM7",0,1.05684118021563,0.642,0.286,0,"Proliferative-like","MCM7"
"RRM1",0,1.37355036865568,0.54,0.187,0,"Proliferative-like","RRM1"
"LMNB1",0,1.41625140458202,0.496,0.15,0,"Proliferative-like","LMNB1"
"SMC4",0,1.65415064806163,0.456,0.114,0,"Proliferative-like","SMC4"
"MKI67",0,1.87073599540888,0.422,0.083,0,"Proliferative-like","MKI67"
"TUBB",0,0.881502546226677,0.852,0.526,0,"Proliferative-like","TUBB"
"TYMS",0,1.93439962828246,0.405,0.082,0,"Proliferative-like","TYMS"
"TK1",0,1.91161250307144,0.409,0.086,0,"Proliferative-like","TK1"
"CDK1",0,2.2983354407664,0.374,0.059,0,"Proliferative-like","CDK1"
"MCM3",0,1.18483823057155,0.49,0.176,0,"Proliferative-like","MCM3"
"STMN1",0,1.3216365287838,0.461,0.149,0,"Proliferative-like","STMN1"
"CDC20",0,2.09600726132026,0.381,0.074,0,"Proliferative-like","CDC20"
"PRKDC",0,0.703767153474316,0.657,0.355,0,"Proliferative-like","PRKDC"
"DHFR",0,1.63661628434806,0.387,0.095,0,"Proliferative-like","DHFR"
"CCNB1",0,1.92214247194315,0.37,0.078,0,"Proliferative-like","CCNB1"
"H2AFX",0,1.47140870191742,0.407,0.117,0,"Proliferative-like","H2AFX"
"KPNA2",0,1.18236563071631,0.471,0.182,0,"Proliferative-like","KPNA2"
"UBE2T",0,1.82169142668562,0.368,0.079,0,"Proliferative-like","UBE2T"
"ALYREF",0,0.874969727251039,0.521,0.233,0,"Proliferative-like","ALYREF"
"FOXM1",0,2.02469021815129,0.347,0.06,0,"Proliferative-like","FOXM1"
"CENPF",0,1.98191573450063,0.349,0.064,0,"Proliferative-like","CENPF"
"SNRPB",0,0.660541712135872,0.665,0.382,0,"Proliferative-like","SNRPB"
"AHCY",0,0.537794941884713,0.741,0.458,0,"Proliferative-like","AHCY"
"SMC1A",0,0.822593287107794,0.517,0.238,0,"Proliferative-like","SMC1A"
"NME1",0,0.667244635263387,0.584,0.306,0,"Proliferative-like","NME1"
"DEK",0,0.624128256484037,0.608,0.333,0,"Proliferative-like","DEK"
"CHEK1",0,1.46050755531423,0.377,0.103,0,"Proliferative-like","CHEK1"
"CSE1L",0,0.792415051514035,0.516,0.244,0,"Proliferative-like","CSE1L"
