"","name","contribution","contribution.scaled","group","contribution.relative.1"
"PTPRM","PTPRM",0,0,"Liver",Inf
"CADM","CADM",0,0,"Liver",Inf
"PECAM2","PECAM2",0,0,"Liver",Inf
"PDGF","PDGF",0,0,"Liver",Inf
"UNC5","UNC5",0,0,"Liver",Inf
"CD96","CD96",0,0,"Liver",Inf
"NECTIN","NECTIN",0,0,"Liver",Inf
"Netrin","Netrin",0,0,"Liver",Inf
"Cholesterol","Cholesterol",0,0,"Liver",Inf
"ADGRL","ADGRL",0,0,"Liver",Inf
"FGF","FGF",0,0,"Liver",Inf
"PECAM1","PECAM1",0,0,"Liver",Inf
"NEGR","NEGR",0,0,"Liver",Inf
"NCAM","NCAM",0,0,"Liver",Inf
"CD86","CD86",0,0,"Liver",Inf
"DESMOSOME","DESMOSOME",0,0,"Liver",Inf
"ICAM","ICAM",0,0,"Liver",Inf
"JAM","JAM",0,0,"Liver",Inf
"NT","NT",0,0,"Liver",Inf
"TRAIL","TRAIL",0,0,"Liver",Inf
"PVR","PVR",0,0,"Liver",Inf
"SLIT","SLIT",0.0558860500253109,0.346687687314666,"Liver",26.02
"TENASCIN","TENASCIN",0.00457648734926144,0.185638158468988,"Liver",6.54
"ncWNT","ncWNT",0.0118063364213004,0.225269928785377,"Liver",3.34
"PTPR","PTPR",0.0357965598615689,0.300309004441605,"Liver",2.84
"ADGRE","ADGRE",0.281032296227433,0.7878447014308,"Liver",2.18
"IGF","IGF",0.184345279755124,0.591385374609886,"Liver",1.69
"COLLAGEN","COLLAGEN",24.3532434825354,186.623414776844,"Liver",1.25
"NOTCH","NOTCH",0.0154526243399862,0.239809508954765,"Liver",1.14
"MPZ","MPZ",0.239990420690208,0.700694115186543,"Liver",1.11
"LAMININ","LAMININ",21.1575746348868,178.140532286987,"Liver",1.03
"BMP","BMP",0.345307593069686,0.940450942513327,"Liver",1
"EPHB","EPHB",0.434735805596503,1.2004560159915,"Liver",1
"FN1","FN1",5.19804167077073,173.899091042059,"Liver",1
"CEACAM","CEACAM",0.992171837085109,127.243237347848,"Liver",0.91
"SIRP","SIRP",0.0303110599768764,0.286021340465089,"Liver",0.83
"DHEA","DHEA",0.344994638231402,0.93964968053526,"Liver",0.79
"PARs","PARs",1.95514000928268,161.174767307274,"Liver",0.79
"PERIOSTIN","PERIOSTIN",0.0722667472223779,0.380605676963493,"Liver",0.78
"EPHA","EPHA",0.92832168422137,13.4450231515563,"Liver",0.67
"CDH1","CDH1",0.60508894645255,1.9905258421341,"Liver",0.66
"SEMA6","SEMA6",0.0884020653382877,0.412224952073488,"Liver",0.56
"CDH","CDH",1.19517838284693,144.209002327561,"Liver",0.56
"SPP1","SPP1",0.220043061647057,0.660531641285822,"Liver",0.54
"NRXN","NRXN",0.223983062606966,0.668366615559689,"Liver",0.45
"CD99","CD99",0.254648070335882,0.731062126186559,"Liver",0.42
"APP","APP",2.25758133956298,165.416208552202,"Liver",0.42
"RELN","RELN",0.0671631898521573,0.370283977414552,"Liver",0.41
"CD6","CD6",0.385617828362597,1.04941872064148,"Liver",0.41
"EGF","EGF",0.688310030834181,2.67726208244247,"Liver",0.39
"THBS","THBS",1.07592314308501,139.967561082633,"Liver",0.37
"HGF","HGF",0.36698752477685,0.997578454179321,"Liver",0.26
"ADGRG","ADGRG",0.381716342733636,1.03833803129046,"Liver",0.21
"CLDN","CLDN",0.115339691203878,0.462990041864388,"Liver",0.14
"Glutamate","Glutamate",0.332734610606543,0.908752132993428,"Liver",0.07
"NRG","NRG",0.707832734884502,2.89395844573006,"Liver",0.06
"LIGHT","LIGHT",0.0017143394557058,0.157017239481088,"Liver",0
